	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	471	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""AAAR3"", ""AAAR3"")"
3	4	evid	evid	dbl	numeric	double	1397	0	c(51262, 63231)
4	5	event	event	chr	character	character	3	0	"c(""108-Month Clinic Visit"", ""96-Month Clinic Visit"")"
5	6	version	version	chr	character	character	4	0	"c(""1.0"", ""1.3"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	4	0	"c("".x"", ""96"")"
8	9	AAAR3_q1	Child Has Runny Nose Routinely	dbl	numeric	double	3	47	c(0, 1)
9	10	AAAR3_q2	Child Has Stuffy Nose Routinely	dbl	numeric	double	3	48	c(0, 1)
10	11	AAAR3_q3	Child Has Frequent Sneezes Routinely	dbl	numeric	double	3	47	c(0, 1)
11	12	AAAR3_q4	Child Has Itchy/Watery Eyes Routinely	dbl	numeric	double	3	47	c(0, 1)
12	13	AAAR3_q5a	Childs Symptoms Made Worse By - Molds	dbl	numeric	double	3	939	c(0, 1)
13	14	AAAR3_q5b	Childs Symptoms Made Worse By - Dust	dbl	numeric	double	3	816	c(0, 1)
14	15	AAAR3_q5c	Childs Symptoms Made Worse By - Exposure To Dogs	dbl	numeric	double	3	837	c(0, 1)
15	16	AAAR3_q5d	Childs Symptoms Made Worse By - Exposure To Cats	dbl	numeric	double	3	828	c(0, 1)
16	17	AAAR3_q5e	Childs Symptoms Made Worse By - Exposure To Tobacco Smoke	dbl	numeric	double	3	845	c(0, 1)
17	18	AAAR3_q5f	Childs Symptoms Made Worse By - Certain Seasons	dbl	numeric	double	3	781	c(0, 1)
18	19	AAAR3_q5f1a	Childs Symptoms Made Worse By - Certain Seasons - Spring	dbl	numeric	double	3	845	c(0, 1)
19	20	AAAR3_q5f1b	Childs Symptoms Made Worse By - Certain Seasons - Summer	dbl	numeric	double	3	844	c(0, 1)
20	21	AAAR3_q5f1c	Childs Symptoms Made Worse By - Certain Seasons - Fall	dbl	numeric	double	3	847	c(0, 1)
21	22	AAAR3_q5f1d	Childs Symptoms Made Worse By - Certain Seasons - Winter	dbl	numeric	double	3	845	c(0, 1)
22	23	AAAR3_q5g	Childs Symptoms Made Worse By - Other	dbl	numeric	double	3	774	c(0, 1)
23	24	AAAR3_q6	Childs Cough is Worse During Different Seasons	dbl	numeric	double	3	47	c(0, 1)
24	25	AAAR3_q6a1	Childs Cough is Worse During Different Seasons - Spring	dbl	numeric	double	3	775	c(0, 1)
25	26	AAAR3_q6a2	Childs Cough is Worse During Different Seasons - Summer	dbl	numeric	double	3	774	c(0, 1)
26	27	AAAR3_q6a3	Childs Cough is Worse During Different Seasons - Fall	dbl	numeric	double	3	771	c(0, 1)
27	28	AAAR3_q6a4	Childs Cough is Worse During Different Seasons - Winter	dbl	numeric	double	3	771	c(0, 1)
28	29	AAAR3_q7a	Child Wheezes or Has Trouble Breathing By - Common Cold or Sinus Infection	dbl	numeric	double	3	77	c(0, 1)
29	30	AAAR3_q7b	Child Wheezes or Has Trouble Breathing By - Exercise	dbl	numeric	double	3	74	c(0, 1)
30	31	AAAR3_q7c	Child Wheezes or Has Trouble Breathing By - Exposure To Tobacco Smoke	dbl	numeric	double	3	183	c(0, 1)
31	32	AAAR3_q7d	Child Wheezes or Has Trouble Breathing By - Certain Seasons	dbl	numeric	double	3	64	c(0, 1)
32	33	AAAR3_q7d1a	Child Wheezes or Has Trouble Breathing By - Certain Seasons - Spring	dbl	numeric	double	3	840	c(0, 1)
33	34	AAAR3_q7d1b	Child Wheezes or Has Trouble Breathing By - Certain Seasons - Summer	dbl	numeric	double	3	842	c(0, 1)
34	35	AAAR3_q7d1c	Child Wheezes or Has Trouble Breathing By - Certain Seasons - Fall	dbl	numeric	double	3	840	c(0, 1)
35	36	AAAR3_q7d1d	Child Wheezes or Has Trouble Breathing By - Certain Seasons - Winter	dbl	numeric	double	3	841	c(0, 1)
36	37	AAAR3_q7e	Child Wheezes or Has Trouble Breathing By - Other	dbl	numeric	double	3	50	c(0, 1)
37	38	AAAR3_q8	Child Has Itchy Rash That is Coming and Going	dbl	numeric	double	3	47	c(0, 1)
38	39	AAAR3_q10a1	Itchy Rash Has Affected - Fold of Elbow	dbl	numeric	double	3	1250	c(0, 1)
39	40	AAAR3_q10a2	Itchy Rash Has Affected - Behind the Knees	dbl	numeric	double	3	1250	c(0, 1)
40	41	AAAR3_q10a3	Itchy Rash Has Affected - In Front of The Ankles	dbl	numeric	double	3	1250	c(0, 1)
41	42	AAAR3_q10a4	Itchy Rash Has Affected - Under The Buttocks	dbl	numeric	double	3	1250	c(0, 1)
42	43	AAAR3_q10a5	Itchy Rash Has Affected - Around The Neck	dbl	numeric	double	3	1250	c(0, 1)
43	44	AAAR3_q10a6	Itchy Rash Has Affected - Around The Ears or Eyes	dbl	numeric	double	3	1250	c(0, 1)
44	45	AAAR3_q11	Rash Cleared Completely At Any Time During Past 12 Months	dbl	numeric	double	3	1252	c(0, 1)
45	46	AAAR3_q12	How Often Child is Kept Awake at Night By Itchy Rash	dbl	numeric	double	4	1251	c(0, 2)
46	47	AAAR3_q13	Ever Had Asthma	dbl	numeric	double	3	47	c(0, 1)
47	48	AAAR3_q13a	First Asthma Symptoms at What Age	dbl	numeric	double	20	833	c(0, 9)
