	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	610	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""BR"", ""BR"")"
3	4	evid	evid	dbl	numeric	double	793	0	c(3, 18057)
4	5	event	event	chr	character	character	1	0	"c(""Birth"", ""Birth"")"
5	6	version	version	chr	character	character	1	0	"c(""1.8"", ""1.8"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	2	0	"c("".x"", ""b"")"
8	9	BR_q2b	Babys Time of Birth	time	"c(""hms"", ""difftime"")"	double	516	174	c(120, 86280)
9	10	BR_q3	Sex of The Baby	dbl	numeric	double	3	174	c(0, 1)
10	11	BR_q4	Gestational Age of Baby at Delivery	dbl	numeric	double	28	174	c(27, 42)
11	12	BR_q5	Babys Weight at Birth	dbl	numeric	double	418	174	c(300, 4850)
12	13	BR_q6	Babys Length at Birth	dbl	numeric	double	51	184	c(40.3, 58.5)
13	14	BR_q7	Baby Head Circumference at Birth	dbl	numeric	double	33	181	c(22.5, 38.5)
14	15	BR_q8	Plurality	dbl	numeric	double	3	174	c(1, 2)
15	16	BR_q8a	Plurality - Specify Other	chr	character	character	2	0	"c("".a"", "".x"")"
16	17	BR_q8b	Plurality - Order of Births	dbl	numeric	double	3	781	c(1, 2)
17	18	BR_q8b1	Plurality - Order of Births - Specify Other	chr	character	character	2	0	"c("".a"", "".x"")"
18	19	BR_q8c2	Recruitment ID - First Sibling	chr	character	character	2	0	"c("".a"", "".x"")"
19	20	BR_q9a	Babys Apgar Score - 1 minute	dbl	numeric	double	12	174	c(0, 10)
20	21	BR_q9b	Babys Apgar Score - 5 minutes	dbl	numeric	double	9	174	c(0, 10)
21	22	BR_q10	Baby on Ventilator after Delivery	dbl	numeric	double	3	174	c(0, 1)
22	23	BR_q10a	Length of Time Baby Was on Ventilator	dbl	numeric	double	3	786	c(1, 2)
23	24	BR_q11	Baby Required Oxygen or CPAP Machine After Delivery	dbl	numeric	double	3	174	c(0, 1)
24	25	BR_q11a	Length of Time Baby Required Oxygen or CPAP Machine After Delivery	dbl	numeric	double	4	724	c(0, 2)
25	26	BR_q12	Baby Born With Significant Congenital Anomalies	dbl	numeric	double	3	174	c(0, 1)
26	27	BR_q12b	Congenital Anomaly Requires Exclusion From Study	dbl	numeric	double	3	786	c(0, 1)
