	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	610	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""CBMCS"", ""CBMCS"")"
3	4	evid	evid	dbl	numeric	double	823	0	c(3, 18057)
4	5	event	event	chr	character	character	1	0	"c(""Birth"", ""Birth"")"
5	6	version	version	chr	character	character	5	0	"c(""1.0"", ""1.4"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aTI	Processing Tech Initials	chr	character	character	22	0	"c("".x"", ""zyk"")"
8	9	aVisit	Visit	chr	character	character	2	0	"c("".x"", ""b"")"
9	10	CBMCS_q1	CBMC Stimulation Assays Conducted	dbl	numeric	double	3	203	c(0, 1)
10	11	CBMCS_q1a2_1	Time Incubations Started	time	"c(""hms"", ""difftime"")"	double	173	242	c(7200, 84540)
11	12	CBMCS_q1b2	Time 24-Hour Incubations Stopped	time	"c(""hms"", ""difftime"")"	double	155	242	c(7200, 84540)
12	13	CBMCS_q1c2	Time 5-Day Incubations Stopped	time	"c(""hms"", ""difftime"")"	double	150	245	c(7200, 82800)
13	14	CBMCS_q2	Cells Stimulated With LPS	dbl	numeric	double	2	206	c(1, 1)
14	15	CBMCS_q2_1	Cells Stimulated With LPS - Number of Times	dbl	numeric	double	3	210	c(1, 2)
15	16	CBMCS_q2a	Cells Stimulated With LPS - Number of Replicates Made	dbl	numeric	double	2	819	c(4, 4)
16	17	CBMCS_q2a_1	Cells Stimulated With LPS - Number of Aliquots Made From Replicates A	dbl	numeric	double	4	210	c(2, 4)
17	18	CBMCS_q2b_1	Cells Stimulated With LPS - Number of Aliquots Made From Replicates B	dbl	numeric	double	4	234	c(2, 4)
18	19	CBMCS_q3	Cells Stimulated With Media for 24 Hours	dbl	numeric	double	3	206	c(0, 1)
19	20	CBMCS_q3_1	Cells Stimulated With Media for 24 Hours - Number of Times	dbl	numeric	double	3	211	c(1, 2)
20	21	CBMCS_q3a	Cells Stimulated With Media for 24 Hours - Number of Replicates Made	dbl	numeric	double	2	819	c(4, 4)
21	22	CBMCS_q3a_1	Cells Stimulated With Media for 24 Hours - Number of Aliquots Made From Replicates A	dbl	numeric	double	4	211	c(2, 4)
22	23	CBMCS_q3b_1	Cells Stimulated With Media for 24 Hours - Number of Aliquots Made From Replicates B	dbl	numeric	double	4	237	c(2, 4)
