	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	514	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""CCRA"", ""CCRA"")"
3	4	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
4	5	status	status	chr	character	character	1	0	"c(""incomplete"", ""incomplete"")"
5	6	SampleID	SampleID	chr	character	character	1761	0	"c(""1000158"", ""999882"")"
6	7	aVisit	Visit	chr	character	character	9	0	"c(""12"", ""cblo"")"
7	8	CCRA_q1b1	A-1 Assay - Stimulant MC48 - Cytokine IL-4 (pg/ml)	dbl	numeric	double	551	429	c(0, 155.07)
8	9	CCRA_q1b2	A-1 Assay - Stimulant MC48 - Cytokine IL-5 (pg/ml)	dbl	numeric	double	145	1224	c(0, 67.2)
9	10	CCRA_q1b4	A-1 Assay - Stimulant MC48 - Cytokine IL-10 (pg/ml)	dbl	numeric	double	1207	112	c(0.02, 6378.62)
10	11	CCRA_q1b5	A-1 Assay - Stimulant MC48 - Cytokine IL-13 (pg/ml)	dbl	numeric	double	493	722	c(0, 696.04)
11	12	CCRA_q1b6	A-1 Assay - Stimulant MC48 - Cytokine IFN-g (pg/ml)	dbl	numeric	double	435	701	c(0, 536)
12	13	CCRA_q1c1	A-1 Assay - Stimulant PHA - Cytokine IL-4 (pg/ml)	dbl	numeric	double	1489	46	c(0.79, 9043.32)
13	14	CCRA_q1c2	A-1 Assay - Stimulant PHA - Cytokine IL-5 (pg/ml)	dbl	numeric	double	1488	74	c(0.14, 10705.43)
14	15	CCRA_q1c4	A-1 Assay - Stimulant PHA - Cytokine IL-10 (pg/ml)	dbl	numeric	double	1474	38	c(1.09, 31796.21)
15	16	CCRA_q1c5	A-1 Assay - Stimulant PHA - Cytokine IL-13 (pg/ml)	dbl	numeric	double	1508	43	c(0.92, 23855.03)
16	17	CCRA_q1c6	A-1 Assay - Stimulant PHA - Cytokine IFN-g (pg/ml)	dbl	numeric	double	1562	39	c(1.46, 60564.84)
17	18	CCRA_q1d1	A-1 Assay - Stimulant CR- Cytokine IL-4 (pg/ml)	dbl	numeric	double	925	258	c(0.09, 5703.03)
18	19	CCRA_q1d2	A-1 Assay - Stimulant CR- Cytokine IL-5 (pg/ml)	dbl	numeric	double	646	722	c(0, 815.25)
19	20	CCRA_q1d4	A-1 Assay - Stimulant CR- Cytokine IL-10 (pg/ml)	dbl	numeric	double	1383	85	c(0.245, 6309.94)
