	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	stimulant		chr	character	character	8	0	"c(""CR"", ""TT"")"
5	6	avisit		dbl	numeric	double	7	0	c(0, 84)
6	7	replicate		chr	character	character	2	0	"c(""A"", ""B"")"
7	8	year		dbl	numeric	double	7	0	c(0, 7)
8	9	il_4_CR	IL-4, Stimulant: CR	dbl	numeric	double	929	48930	c(0.12, 5703.03)
9	10	il_5_CR	IL-5, Stimulant: CR	dbl	numeric	double	635	49468	c(0.12, 815.25)
10	11	il_10_CR	IL-10, Stimulant: CR	dbl	numeric	double	1422	48930	c(0.12, 6309.94)
11	12	il_13_CR	IL-13, Stimulant: CR	dbl	numeric	double	1175	48930	c(0.12, 3145.56)
12	13	ifn_g_CR	IFN-g, Stimulant: CR	dbl	numeric	double	892	48931	c(0.12, 15932.63)
13	14	il_4_DM	IL-4, Stimulant: DM	dbl	numeric	double	1099	48907	c(0.12, 805.87)
14	15	il_5_DM	IL-5, Stimulant: DM	dbl	numeric	double	1147	49497	c(0.12, 1492.67)
15	16	il_10_DM	IL-10, Stimulant: DM	dbl	numeric	double	1588	48907	c(0.12, 24960.58)
16	17	il_13_DM	IL-13, Stimulant: DM	dbl	numeric	double	1690	48907	c(0.12, 5430.52)
17	18	ifn_g_DM	IFN-g, Stimulant: DM	dbl	numeric	double	1488	48907	c(0.12, 22500)
18	19	il_4_MAB	IL-4, Stimulant: MAB	dbl	numeric	double	1408	49450	c(3.1, 4899.76)
19	20	il_5_MAB	IL-5, Stimulant: MAB	dbl	numeric	double	1407	49450	c(3.1, 9903.1)
20	21	il_10_MAB	IL-10, Stimulant: MAB	dbl	numeric	double	1519	49450	c(3.1, 19599.5)
21	22	il_13_MAB	IL-13, Stimulant: MAB	dbl	numeric	double	1497	49450	c(3.1, 16829.68)
22	23	ifn_g_MAB	IFN-g, Stimulant: MAB	dbl	numeric	double	1542	49450	c(3.1, 22639.29)
23	24	il_4_MC24	IL-4, Stimulant: MC24	dbl	numeric	double	3	50552	c(6.8, 7.4542)
24	25	il_5_MC24	IL-5, Stimulant: MC24	dbl	numeric	double	1	51156	
25	26	il_10_MC24	IL-10, Stimulant: MC24	dbl	numeric	double	14	50550	c(6.8, 42.618)
26	27	il_13_MC24	IL-13, Stimulant: MC24	dbl	numeric	double	8	50552	c(6.8, 20.388)
27	28	ifn_g_MC24	IFN-g, Stimulant: MC24	dbl	numeric	double	115	50550	c(6.8, 1276.53)
28	29	il_4_MC48h	IL-4, Stimulant: MC48h	dbl	numeric	double	546	49479	c(0.12, 155.07)
29	30	il_5_MC48h	IL-5, Stimulant: MC48h	dbl	numeric	double	132	49479	c(0.12, 67.2)
30	31	il_10_MC48h	IL-10, Stimulant: MC48h	dbl	numeric	double	1212	49479	c(0.12, 6378.62)
31	32	il_13_MC48h	IL-13, Stimulant: MC48h	dbl	numeric	double	485	49479	c(0.12, 696.04)
32	33	ifn_g_MC48h	IFN-g, Stimulant: MC48h	dbl	numeric	double	423	49479	c(0.12, 536)
33	34	il_4_MC5	IL-4, Stimulant: MC5	dbl	numeric	double	3	50560	c(6.8, 7.8571)
34	35	il_5_MC5	IL-5, Stimulant: MC5	dbl	numeric	double	1	51156	
35	36	il_10_MC5	IL-10, Stimulant: MC5	dbl	numeric	double	32	50558	c(6.8, 37.018)
36	37	il_13_MC5	IL-13, Stimulant: MC5	dbl	numeric	double	57	50560	c(6.8, 860.35)
37	38	ifn_g_MC5	IFN-g, Stimulant: MC5	dbl	numeric	double	121	50558	c(6.8, 7073.43)
38	39	il_4_PHA	IL-4, Stimulant: PHA	dbl	numeric	double	1880	48815	c(3.1, 9043.32)
39	40	il_5_PHA	IL-5, Stimulant: PHA	dbl	numeric	double	1461	49419	c(3.1, 10705.43)
40	41	il_10_PHA	IL-10, Stimulant: PHA	dbl	numeric	double	1997	48815	c(3.1, 31796.21)
41	42	il_13_PHA	IL-13, Stimulant: PHA	dbl	numeric	double	2035	48815	c(3.1, 23855.03)
42	43	ifn_g_PHA	IFN-g, Stimulant: PHA	dbl	numeric	double	2115	48815	c(3.1, 60564.84)
43	44	il_4_TT	IL-4, Stimulant: TT	dbl	numeric	double	1327	48893	c(0.12, 2964.1)
44	45	il_5_TT	IL-5, Stimulant: TT	dbl	numeric	double	1112	49479	c(0.12, 1679.16)
45	46	il_10_TT	IL-10, Stimulant: TT	dbl	numeric	double	1498	48893	c(0.12, 6916.57)
46	47	il_13_TT	IL-13, Stimulant: TT	dbl	numeric	double	1495	48893	c(0.12, 5610)
