	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	609	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""CSLRI"", ""CSLRI"")"
3	4	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
4	5	status	status	chr	character	character	1	0	"c(""expected"", ""expected"")"
5	6	SampleID	SampleID	chr	character	character	610	0	"c(""100009"", ""99048"")"
6	7	aVisit	Visit	chr	character	character	1	0	"c(""b"", ""b"")"
7	8	CSLRI_q1a	Record Plate Number for A-1 Assay	chr	character	character	78	0	"c(""102"", ""97b"")"
8	9	CSLRI_q1b1	A-1 Assay - Stimulant LPS - Cytokine IFN-a	dbl	numeric	double	369	182	c(1.06, 546.92)
9	10	CSLRI_q1b2	A-1 Assay - Stimulant LPS - Cytokine IFN-g	dbl	numeric	double	348	230	c(0.22, 2190)
10	11	CSLRI_q1b3	A-1 Assay - Stimulant LPS - Cytokine IL-10	dbl	numeric	double	514	7	c(10, 2412.98)
11	12	CSLRI_q1b4	A-1 Assay - Stimulant LPS - Cytokine IL-12 (p40)	dbl	numeric	double	538	21	c(2.31, 12100)
12	13	CSLRI_q1b5	A-1 Assay - Stimulant LPS - Cytokine IL-12 (p70)	dbl	numeric	double	14	597	c(1.27, 262.95)
13	14	CSLRI_q1b6	A-1 Assay - Stimulant LPS - Cytokine RANTES	dbl	numeric	double	44	567	c(177.93, 1779.48)
14	15	CSLRI_q1b7	A-1 Assay - Stimulant LPS - Cytokine TNF-a	dbl	numeric	double	530	4	c(7.33, 15800)
15	16	CSLRI_q1c1	A-1 Assay - Stimulant MC24 - Cytokine IFN-a	dbl	numeric	double	142	449	c(1.02, 96.33)
16	17	CSLRI_q1c2	A-1 Assay - Stimulant MC24 - Cytokine IFN-g	dbl	numeric	double	234	341	c(0.82, 340)
17	18	CSLRI_q1c3	A-1 Assay - Stimulant MC24 - Cytokine IL-10	dbl	numeric	double	102	500	c(1.05, 51.6)
18	19	CSLRI_q1c4	A-1 Assay - Stimulant MC24 - Cytokine IL-12 (p40)	dbl	numeric	double	321	252	c(0.43, 3370)
19	20	CSLRI_q1c5	A-1 Assay - Stimulant MC24 - Cytokine IL-12 (p70)	dbl	numeric	double	12	597	c(0.89, 14.83)
20	21	CSLRI_q1c6	A-1 Assay - Stimulant MC24 - Cytokine RANTES	dbl	numeric	double	43	568	c(87.99, 1034.51)
21	22	CSLRI_q1c7	A-1 Assay - Stimulant MC24 - Cytokine TNF-a	dbl	numeric	double	195	397	c(1.05, 1750)
22	23	CSLRI_q1d1	A-1 Assay - Stimulant PIC - Cytokine IFN-a	dbl	numeric	double	525	23	c(1.66, 2710)
23	24	CSLRI_q1d2	A-1 Assay - Stimulant PIC - Cytokine IFN-g	dbl	numeric	double	517	56	c(0.19, 15170)
24	25	CSLRI_q1d3	A-1 Assay - Stimulant PIC - Cytokine IL-10	dbl	numeric	double	398	146	c(1.04, 997.39)
25	26	CSLRI_q1d4	A-1 Assay - Stimulant PIC - Cytokine IL-12 (p40)	dbl	numeric	double	500	49	c(1.36, 4500)
26	27	CSLRI_q1d5	A-1 Assay - Stimulant PIC - Cytokine IL-12 (p70)	dbl	numeric	double	44	566	c(3.86, 629.72)
27	28	CSLRI_q1d6	A-1 Assay - Stimulant PIC - Cytokine RANTES	dbl	numeric	double	37	574	c(279.62, 1198.95)
28	29	CSLRI_q1d7	A-1 Assay - Stimulant PIC - Cytokine TNF-a	dbl	numeric	double	478	64	c(0.98, 2900)
29	30	CSLRI_q1e1	A-1 Assay - Stimulant PG - Cytokine IFN-a	dbl	numeric	double	411	139	c(1.3, 309.11)
30	31	CSLRI_q1e2	A-1 Assay - Stimulant PG - Cytokine IFN-g	dbl	numeric	double	422	145	c(0.21, 11500)
31	32	CSLRI_q1e3	A-1 Assay - Stimulant PG - Cytokine IL-10	dbl	numeric	double	523	6	c(4.45, 3260)
32	33	CSLRI_q1e4	A-1 Assay - Stimulant PG - Cytokine IL-12 (p40)	dbl	numeric	double	519	16	c(3.44, 33400)
33	34	CSLRI_q1e5	A-1 Assay - Stimulant PG - Cytokine IL-12 (p70)	dbl	numeric	double	14	597	c(1.34, 29.52)
34	35	CSLRI_q1e6	A-1 Assay - Stimulant PG - Cytokine RANTES	dbl	numeric	double	25	586	c(190.78, 962.69)
35	36	CSLRI_q1e7	A-1 Assay - Stimulant PG - Cytokine TNF-a	dbl	numeric	double	513	11	c(10.35, 35300)
36	37	CSLRI_q1f1	A-1 Assay - Stimulant CpG - Cytokine IFN-a	dbl	numeric	double	497	60	c(1.04, 2685.11)
37	38	CSLRI_q1f2	A-1 Assay - Stimulant CpG - Cytokine IFN-g	dbl	numeric	double	411	139	c(0.21, 4560)
38	39	CSLRI_q1f3	A-1 Assay - Stimulant CpG - Cytokine IL-10	dbl	numeric	double	512	35	c(1.52, 1160)
39	40	CSLRI_q1f4	A-1 Assay - Stimulant CpG - Cytokine IL-12 (p40)	dbl	numeric	double	505	37	c(2.36, 6620)
40	41	CSLRI_q1f5	A-1 Assay - Stimulant CpG - Cytokine IL-12 (p70)	dbl	numeric	double	17	593	c(1.63, 26)
41	42	CSLRI_q1f6	A-1 Assay - Stimulant CpG - Cytokine RANTES	dbl	numeric	double	26	585	c(83.17, 1021.81)
42	43	CSLRI_q1f7	A-1 Assay - Stimulant CpG - Cytokine TNF-a	dbl	numeric	double	486	65	c(1.16, 2200)
43	44	CSLRI_q1g1	A-1 Assay - Stimulant MC5 - Cytokine IFN-a	dbl	numeric	double	146	452	c(1.01, 67.1)
44	45	CSLRI_q1g2	A-1 Assay - Stimulant MC5 - Cytokine IFN-g	dbl	numeric	double	237	344	c(0.22, 4580)
45	46	CSLRI_q1g3	A-1 Assay - Stimulant MC5 - Cytokine IL-10	dbl	numeric	double	136	458	c(1.19, 60.3)
46	47	CSLRI_q1g4	A-1 Assay - Stimulant MC5 - Cytokine IL-12 (p40)	dbl	numeric	double	295	276	c(0.94, 4060)
47	48	CSLRI_q1g5	A-1 Assay - Stimulant MC5 - Cytokine IL-12 (p70)	dbl	numeric	double	9	602	c(5, 16.65)
48	49	CSLRI_q1g6	A-1 Assay - Stimulant MC5 - Cytokine RANTES	dbl	numeric	double	42	569	c(30.37, 783.42)
49	50	CSLRI_q1g7	A-1 Assay - Stimulant MC5 - Cytokine TNF-a	dbl	numeric	double	149	438	c(0.11, 919)
50	51	CSLRI_q1h1	A-1 Assay - Stimulant RSV - Cytokine IFN-a	dbl	numeric	double	198	383	c(0, 610)
51	52	CSLRI_q1h2	A-1 Assay - Stimulant RSV - Cytokine IFN-g	dbl	numeric	double	454	129	c(1.04, 6648)
52	53	CSLRI_q1h3	A-1 Assay - Stimulant RSV - Cytokine IL-10	dbl	numeric	double	473	89	c(1.07, 456.47)
53	54	CSLRI_q1h4	A-1 Assay - Stimulant RSV - Cytokine IL-12 (p40)	dbl	numeric	double	501	51	c(2.36, 9660)
54	55	CSLRI_q1h5	A-1 Assay - Stimulant RSV - Cytokine IL-12 (p70)	dbl	numeric	double	12	599	c(3.25, 13.52)
55	56	CSLRI_q1h6	A-1 Assay - Stimulant RSV - Cytokine RANTES	dbl	numeric	double	27	584	c(81.72, 849.43)
56	57	CSLRI_q1h7	A-1 Assay - Stimulant RSV - Cytokine TNF-a	dbl	numeric	double	481	93	c(1.08, 2220)
57	58	CSLRI_q2a	Record Plate Number for A-2 Assay	chr	character	character	19	0	"c("".m"", ""87"")"
58	59	CSLRI_q2b1	A-2 Assay - Stimulant LPS - Cytokine IFN-a	dbl	numeric	double	39	571	c(2.3, 548.92)
59	60	CSLRI_q2b2	A-2 Assay - Stimulant LPS - Cytokine IFN-g	dbl	numeric	double	26	585	c(1, 9001)
