	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	avisit		dbl	numeric	double	1	0	c(0, 0)
4	5	year		dbl	numeric	double	1	0	c(0, 0)
5	6	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
6	7	mom_marital	Participant - Current Marital Status	dbl	numeric	double	8	7	c(1, 8)
7	8	healthinsur_type	Type of Health Insurance Plan	dbl	numeric	double	4	24	c(1, 3)
8	9	mom_numrace	Number of race/ethnicity categories mentioned for mother	dbl	numeric	double	5	7	c(1, 5)
9	10	dad_numrace	Number of race/ethnicity categories mentioned for father	dbl	numeric	double	5	8	c(1, 4)
10	11	momrace	Mother's race/ethnicity	dbl	numeric	double	8	7	c(1, 7)
11	12	dadrace	Father's race/ethnicity	dbl	numeric	double	8	8	c(1, 7)
12	13	momrace2	Mother's race/ethnicity-short list	dbl	numeric	double	5	7	c(1, 4)
13	14	dadrace2	Father's race/ethnicity-short list	dbl	numeric	double	5	8	c(1, 4)
14	15	mom_hispanic	Mother is Hispanic	dbl	numeric	double	3	7	c(0, 1)
15	16	dad_hispanic	Father is Hispanic	dbl	numeric	double	3	8	c(0, 1)
16	17	mom_black	Mother is black	dbl	numeric	double	3	7	c(0, 1)
17	18	dad_black	Father is black	dbl	numeric	double	3	8	c(0, 1)
18	19	momrace3	Mother's race/ethnicity-census categories	dbl	numeric	double	6	7	c(1, 6)
19	20	dadrace3	Father's race/ethnicity-census categories	dbl	numeric	double	6	8	c(1, 6)
20	21	currhome_residyrs	Years lived at current address	dbl	numeric	double	109	7	c(0, 30.3)
21	22	babyrace	Baby's race/ethnicity	dbl	numeric	double	8	4	c(1, 7)
22	23	babyrace2	Baby's race/ethnicity-short list	dbl	numeric	double	5	4	c(1, 4)
23	24	baby_hispanic	Baby is Hispanic	dbl	numeric	double	3	4	c(0, 1)
24	25	baby_black	Baby is black	dbl	numeric	double	3	4	c(0, 1)
25	26	babyrace3	Baby's race/ethnicity-census categories	dbl	numeric	double	6	4	c(1, 6)
26	27	baby_gest_age	Gestational Age of Baby at Delivery	dbl	numeric	double	25	0	c(34, 42)
27	28	mom_atopy	Mother has asthma/allergies (screening)	dbl	numeric	double	3	1	c(0, 1)
28	29	dad_atopy	Father has asthma/allergies (screening)	dbl	numeric	double	3	44	c(0, 1)
29	30	who_atopy	Which parent has asthma/allergies (screening)?	chr	character	character	4	0	"c("""", ""Mom Only"")"
30	31	mom_asthma	Mother has asthma (screening)	dbl	numeric	double	3	2	c(0, 1)
31	32	dad_asthma	Father has asthma (screening)	dbl	numeric	double	3	49	c(0, 1)
32	33	num_par_asthma	Number of parents with asthma (screening)	dbl	numeric	double	4	17	c(0, 2)
33	34	who_asthma	Does either parent have asthma (screening)?	chr	character	character	5	0	"c("""", ""Neither"")"
34	35	mom_hayfever	Mother has hayfever (screening)	dbl	numeric	double	3	5	c(0, 1)
35	36	dad_hayfever	Father has hayfever (screening)	dbl	numeric	double	3	57	c(0, 1)
36	37	num_par_hayfever	Number of parents with hayfever (screening)	dbl	numeric	double	4	24	c(0, 2)
37	38	mom_eczema	Mother has eczema (screening)	dbl	numeric	double	3	2	c(0, 1)
38	39	dad_eczema	Father has eczema (screening)	dbl	numeric	double	3	41	c(0, 1)
39	40	num_par_eczema	Number of parents with eczema (screening)	dbl	numeric	double	4	29	c(0, 2)
40	41	mom_numdisease	Number of conditions-mother	dbl	numeric	double	4	0	c(0, 3)
41	42	dad_numdisease	Number of conditions-father	dbl	numeric	double	5	24	c(0, 3)
42	43	gestwk_prenat	Week of gestation for prenatal visit	dbl	numeric	double	35	1	c(7, 40)
43	44	trimester	Trimester of pregnancy for prenatal visit	dbl	numeric	double	4	2	c(1, 3)
44	45	earlypreg	1st or 2nd Trimester of Pregnancy	dbl	numeric	double	3	2	c(0, 1)
45	46	mom_everasthma	Respiratory Conditons - Participant - Ever Had Asthma	dbl	numeric	double	3	8	c(0, 1)
46	47	mom_stillasthma	Respiratory Conditions - Participant - Still Have Asthma	dbl	numeric	double	3	10	c(0, 1)
47	48	dad_everasthma	Respiratory Conditions - Biological Father Ever Had Asthma	dbl	numeric	double	3	63	c(0, 1)
48	49	dad_stillasthma	Respiratory Conditions - Biolgical Father - Still Have Asthma	dbl	numeric	double	3	73	c(0, 1)
49	50	mom_everhay	Hay fever/Allergic Rhinitis - Participant - Had Hay Fever	dbl	numeric	double	3	14	c(0, 1)
50	51	mom_stillhay	Hay fever/Allergic Rhinitis - Participant - Still Have Hay Fever	dbl	numeric	double	3	17	c(0, 1)
51	52	dad_everhay	Hayfever/Allergic Rhinitis - Biological Father Had Hay Fever	dbl	numeric	double	3	95	c(0, 1)
