	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	610	0	"c("""", ""[ID Redacted]"")"
1	2	group		chr	character	character	3	0	"c("""", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""DF"", ""DF"")"
3	4	evid	evid	dbl	numeric	double	2454	0	c(2, 42667)
4	5	event	event	chr	character	character	4	0	"c(""12-Month Clinic Visit"", ""Prenatal Visit"")"
5	6	version	version	chr	character	character	2	0	"c(""1.1"", ""1.2"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	5	0	"c("".x"", ""p"")"
8	9	DF_q1a1	Number of Years at Current Address	dbl	numeric	double	36	237	c(0, 36)
9	10	DF_q1a2	Number of Month Current Address	dbl	numeric	double	17	291	c(0, 11)
10	11	DF_q2	Number of People Living in Participant's Home	dbl	numeric	double	24	238	c(1, 60)
11	12	DF_q2a	Number of Adults Living in the Participant's Home	dbl	numeric	double	16	237	c(0, 24)
12	13	DF_q3	Other Children Living in Household	dbl	numeric	double	3	237	c(0, 1)
13	14	DF_q3a	Number of Other Children Living in Household	dbl	numeric	double	16	805	c(1, 36)
14	15	DF_q3b1	Age of Youngest Child in Years	dbl	numeric	double	19	805	c(0, 17)
15	16	DF_q3b2	Age of Youngest Child in Months	dbl	numeric	double	14	807	c(0, 11)
16	17	DF_q3c1	Age of Next Youngest Child in Years	dbl	numeric	double	19	1419	c(0, 17)
17	18	DF_q3c2	Age of Next Youngest Child in Months	dbl	numeric	double	13	1419	c(0, 11)
18	19	DF_q3d1	Age of Third Youngest Child in Years	dbl	numeric	double	19	1948	c(0, 17)
19	20	DF_q3d2	Age of Third Youngest Child in Months	dbl	numeric	double	10	1948	c(0, 11)
20	21	DF_q3e1	Age of Fourth Youngest Child in Years	dbl	numeric	double	20	2202	c(0, 17)
21	22	DF_q3e2	Age of Fourth Youngest Child in Months	dbl	numeric	double	7	2202	c(0, 10)
22	23	DF_q3f1	Age of Fifth Youngest Child in Years	dbl	numeric	double	19	2336	c(0, 17)
23	24	DF_q3f2	Age of Fifth Youngest Child in Months	dbl	numeric	double	4	2336	c(0, 3)
24	25	DF_q4	Participant - Highest Grade Completed in School	dbl	numeric	double	18	237	c(0, 16)
25	26	DF_q5	Participant - Current Marital Status	dbl	numeric	double	9	237	c(1, 8)
26	27	DF_q6	Participant Covered by Health Insurance Plan	dbl	numeric	double	3	242	c(0, 1)
