	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	4	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	1	0	"c(""Atopic"", ""Atopic"")"
2	3	form		chr	character	character	1	0	"c(""HCSPR"", ""HCSPR"")"
3	4	version	version	chr	character	character	1	0	"c(""1.1"", ""1.1"")"
4	5	status	status	chr	character	character	2	0	"c(""complete"", ""incomplete"")"
5	6	SampleID	SampleID	chr	character	character	4	0	"c(""64739"", ""78367"")"
6	7	aVisit	Visit	chr	character	character	1	0	"c(""b"", ""b"")"
7	8	HCSPR_q4	Signaling Assay Conducted	dbl	numeric	double	1	0	c(1, 1)
8	9	HCSPR_q4c	Signaling Assay - Number of Cells Used	dbl	numeric	double	3	0	c(4, 23)
9	10	HCSPR_q5	Caspase Activation Staining Conducted	dbl	numeric	double	2	0	c(0, 1)
10	11	HCSPR_q5b	Caspase Activation Staining - Number of Cells Used	dbl	numeric	double	2	3	c(20, 20)
11	12	HCSPR_q6	Viral Replication Assay Conducted	dbl	numeric	double	2	0	c(0, 1)
12	13	HCSPR_q6a2_2	Viral Replication - Time 24 Hour Supernatant Collected	time	"c(""hms"", ""difftime"")"	double	2	3	c(57600, 57600)
13	14	HCSPR_q6a2_3	Viral Replication - Time 48 Hour Supernatant Collected	time	"c(""hms"", ""difftime"")"	double	2	3	c(57600, 57600)
14	15	HCSPR_q6b	Viral Replication Assay - Number of Cells Used	dbl	numeric	double	2	3	c(4, 4)
15	16	HCSPR_q7	IFN Production ELISA Assay Conducted	dbl	numeric	double	2	0	c(0, 1)
16	17	HCSPR_q7b2	IFN Production ELISA Assay - Time Supernatants Assayed	time	"c(""hms"", ""difftime"")"	double	1	4	
17	18	HCSPR_q8	CCL5 ELISA Assay Conducted	dbl	numeric	double	2	0	c(0, 1)
18	19	HCSPR_q8a2_1	CCL5 ELISA Assay - Time Started	time	"c(""hms"", ""difftime"")"	double	2	3	c(57600, 57600)
19	20	HCSPR_q8a2_2	CCL5 ELISA Assay - Time Day 2 Supernatant Collected	time	"c(""hms"", ""difftime"")"	double	2	3	c(57600, 57600)
20	21	HCSPR_q8a2_3	CCL5 ELISA Assay - Time Day 4 Supernatant Collected	time	"c(""hms"", ""difftime"")"	double	2	3	c(57600, 57600)
21	22	HCSPR_q8b1	CCL5 ELISA Assay - Date Supernatants Assayed	dbl	numeric	double	1	4	
22	23	HCSPR_q8b2	CCL5 ELISA Assay - Time Supernatants Assayed	time	"c(""hms"", ""difftime"")"	double	1	4	
23	24	aCompletionDY	Completion Day	dbl	numeric	double	3	1	c(2, 6)
24	25	HCSPR_q1aDY	Collection Day	dbl	numeric	double	1	0	c(0, 0)
25	26	HCSPR_q2aDY	Processing Day	dbl	numeric	double	2	0	c(0, 1)
26	27	HCSPR_q3aDY	Day Sample Received at Holtzman Lab	dbl	numeric	double	2	0	c(0, 1)
27	28	HCSPR_q4a1DY	Signaling Assay - Day Cell Lysate Collected	dbl	numeric	double	3	1	c(2, 6)
28	29	HCSPR_q4b1DY	Signaling Assay - Day Assay Conducted	dbl	numeric	double	3	1	c(2, 6)
29	30	HCSPR_q5a1DY	Caspase Activation Staining - Day Conducted	dbl	numeric	double	2	3	c(5, 5)
30	31	HCSPR_q6a1_1DY	Viral Replication - Day Assay Started	dbl	numeric	double	2	3	c(5, 5)
31	32	HCSPR_q6a1_2DY	Viral Replication - Day 24 Hour Supernatant Collected	dbl	numeric	double	2	3	c(6, 6)
32	33	HCSPR_q6a1_3DY	Viral Replication - Day 48 Hour Supernatant Collected	dbl	numeric	double	2	3	c(7, 7)
33	34	HCSPR_q6a1_4DY	Viral Replication - Day 96 Hour Supernatant Collected	dbl	numeric	double	2	3	c(9, 9)
34	35	HCSPR_q6a1DY	Viral Replication Assay - Day Conducted	dbl	numeric	double	1	4	
35	36	HCSPR_q7a1_1DY	IFN Production ELISA Assay - Day Started	dbl	numeric	double	2	3	c(5, 5)
36	37	HCSPR_q7a1_2DY	IFN Production ELISA Assay - Day Day 2 Supernatant Collected	dbl	numeric	double	2	3	c(7, 7)
37	38	HCSPR_q7a1_3DY	IFN Production ELISA Assay - Day Day 4 Supernatant Collected	dbl	numeric	double	2	3	c(9, 9)
38	39	HCSPR_q7b1DY	IFN Production ELISA Assay - Day Supernatants Assayed	dbl	numeric	double	1	4	
39	40	HCSPR_q8a1_1DY	CCL5 ELISA Assay - Day Started	dbl	numeric	double	2	3	c(5, 5)
40	41	HCSPR_q8a1_2DY	CCL5 ELISA Assay - Day Day 2 Supernatant Collected	dbl	numeric	double	2	3	c(7, 7)
41	42	HCSPR_q8a1_3DY	CCL5 ELISA Assay - Day Day 4 Supernatant Collected	dbl	numeric	double	2	3	c(9, 9)
