	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	avisit		dbl	numeric	double	11	0	c(3, 120)
5	6	year		dbl	numeric	double	10	0	c(1, 10)
6	7	evid	evid	dbl	numeric	double	5122	1578	c(292, 63231)
7	8	event	event	chr	character	character	12	0	"c("""", ""96-Month Clinic Visit"")"
8	9	version	version	chr	character	character	5	0	"c("""", ""1.3"")"
9	10	status	status	chr	character	character	2	0	"c("""", ""complete"")"
10	11	aStudyID	Study ID	chr	character	character	561	0	"c("""", ""[ID Redacted]"")"
11	12	child_centralac	Things Used in Child's Bedroom: Central Air Conditioner	dbl	numeric	double	3	1579	c(0, 1)
12	13	child_roomac	Things Used in Child's Bedroom: Room Air Conditioner	dbl	numeric	double	3	1579	c(0, 1)
13	14	aircleaner	Things Used in Child's Bedroom: Air Cleaning Device	dbl	numeric	double	3	1579	c(0, 1)
14	15	dehumidif	Things Used in Child's Bedroom: Dehumidifier	dbl	numeric	double	3	1579	c(0, 1)
15	16	humidifier	Things Used in Child's Bedroom: Humidifier/Vaporizer	dbl	numeric	double	3	1579	c(0, 1)
16	17	heat_mainsource	Main Source of Heating in Home	dbl	numeric	double	9	1581	c(1, 9)
17	18	heat_radiator	Other Sources for Heat in Home: Radiators or Baseboard Heating	dbl	numeric	double	3	1579	c(0, 1)
18	19	heat_central	Other Sources for Heat in Home: Forced Air or Central Heating	dbl	numeric	double	3	1579	c(0, 1)
19	20	heat_electricbase	Other Sources for Heat in Home: Electric Baseboard Heating	dbl	numeric	double	3	1579	c(0, 1)
20	21	heat_elecspace	Other Sources for Heat in Home: Electric Space Heater	dbl	numeric	double	3	1579	c(0, 1)
21	22	heat_kerosenespace	Other Sources for Heat in Home: Kerosene space heater	dbl	numeric	double	3	1579	c(0, 1)
22	23	heat_stoveoven	Other Sources for Heat in Home: Open Stove or Oven	dbl	numeric	double	3	1579	c(0, 1)
23	24	heat_woodstove	Other Sources for Heat in Home: Wood Burning Stove	dbl	numeric	double	3	1579	c(0, 1)
24	25	heat_fireplace	Other Sources for Heat in Home: Fireplace	dbl	numeric	double	3	1579	c(0, 1)
25	26	heat_other	Other Sources for Heat in Home: Other	dbl	numeric	double	3	1579	c(0, 1)
26	27	gas_stove	Gas Stove, Range, or Oven	dbl	numeric	double	3	1579	c(0, 1)
27	28	burn_pilotlt	Gas Stove, Range, or Oven Have Burning Pilot Light	dbl	numeric	double	3	3198	c(0, 1)
28	29	home_waterprobs	Water, Dampness, Mildew, or Mold During Past 12 Months in Home	dbl	numeric	double	3	1588	c(0, 1)
29	30	home_mice	Problems in Home/Apartment: Mice	dbl	numeric	double	3	1584	c(0, 1)
30	31	home_rats	Problems in Home/Apartment: Rats	dbl	numeric	double	3	1597	c(0, 1)
31	32	home_roach	Cockroaches in Home in Last 12 Months	dbl	numeric	double	3	1579	c(0, 1)
32	33	home_roach_day	Cockroaches Seen During the Day	dbl	numeric	double	3	5110	c(0, 1)
33	34	dog_any	Dog Living at Home in Past Year	dbl	numeric	double	3	1579	c(0, 1)
34	35	dog_max	Maximum Number of Dogs Participant Has Had	dbl	numeric	double	15	1579	c(0, 15)
35	36	dog_curr	Currently Have Dog Living in Home	dbl	numeric	double	3	5663	c(0, 1)
36	37	dog_childrm	Dog Kept in Childs Room	dbl	numeric	double	3	5663	c(0, 1)
37	38	cat_any	Cat Living at Home in Past Year	dbl	numeric	double	3	1579	c(0, 1)
38	39	cat_max	Maximum Number of Cats Participant Has Had	dbl	numeric	double	17	1579	c(0, 28)
39	40	cat_curr	Currently Have Cat Living in Home	dbl	numeric	double	3	5651	c(0, 1)
40	41	cat_childrm	Cat Kept in Childs Room	dbl	numeric	double	3	5651	c(0, 1)
41	42	petrodent_any	Hamster, Guinea Pig, Rabbit Living in Home in the Past Year	dbl	numeric	double	3	1579	c(0, 1)
42	43	petrodent_curr	Currently have Hamster, Guinea Pig, or Rabbit Living in Home	dbl	numeric	double	3	6483	c(0, 1)
43	44	petrodent_childrm	Hamster, Guinea Pig, or Rabbit Kept in Childs Room	dbl	numeric	double	3	1579	c(0, 1)
44	45	daycare_10hr	Child Attends Daycare 10 or More Hours Per Week	dbl	numeric	double	3	1579	c(0, 1)
45	46	daycare_numhrs	Number of Hours Spent at Daycare	dbl	numeric	double	59	5271	c(2.5, 120)
46	47	daycare_numkids	Number of Other Children in Childs Group at Daycare	dbl	numeric	double	42	5321	c(0, 300)
47	48	daycare_heatsource	Main Heating Source in Childs Daycare	dbl	numeric	double	7	6169	c(1, 7)
