	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	89	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	1	0	"c(""Atopic"", ""Atopic"")"
2	3	form		chr	character	character	1	0	"c(""IOSOR"", ""IOSOR"")"
3	4	evid	evid	dbl	numeric	double	89	0	c(346, 9652)
4	5	event	event	chr	character	character	1	0	"c(""36-Month Clinic Visit"", ""36-Month Clinic Visit"")"
5	6	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
6	7	status	status	chr	character	character	1	0	"c(""complete"", ""complete"")"
7	8	IOSOR_q3	Age of Participant	dbl	numeric	double	1	0	c(3, 3)
8	9	IOSOR_q4	Technician's Evaluation of Testing Session	dbl	numeric	double	5	0	c(0, 4)
9	10	IOSOR_q5a	Acceptability Evaluation of Best Maneuver - Satisfactory Tidal Breathing	dbl	numeric	double	3	9	c(0, 1)
10	11	IOSOR_q5b	Acceptability Evaluation of Best Maneuver - 3 Acceptable Maneuvers , No More Than 8	dbl	numeric	double	3	9	c(0, 1)
11	12	IOSOR_q5c	Acceptability Evaluation of Best Maneuver - 3 Maneuvers With Coherence of R10 - .80	dbl	numeric	double	3	9	c(0, 1)
12	13	IOSOR_q5d	Acceptability Evaluation of Best Maneuver - Minimum of 4 Breaths/ 15 sec. Of Data	dbl	numeric	double	3	9	c(0, 1)
13	14	IOSOR_q5e	Acceptability Evaluation of Best Maneuver - X5 Values are Negative	dbl	numeric	double	3	9	c(0, 1)
14	15	IOSOR_q5f	Acceptability Evaluation of Best Maneuver - Reproducibility of R10< = 20% on (3) Acceptable Maneuvers	dbl	numeric	double	3	9	c(0, 1)
15	16	IOSOR_q5g	Acceptability Evaluation of Best Maneuver - Correct Window Was Chosen	dbl	numeric	double	3	9	c(0, 1)
16	17	IOSOR_q6	Number of Acceptable Best Maneuvers	dbl	numeric	double	8	11	c(0, 7)
17	18	IOSOR_q7	Tech Test Session Eval  Score	dbl	numeric	double	5	0	c(0, 4)
18	19	IOSOR_q8	Best Maneuver Acceptability Eval Score	dbl	numeric	double	8	11	c(0, 7)
19	20	IOSOR_q9	Results Acceptable to Overreader	dbl	numeric	double	2	0	c(0, 1)
20	21	aTestDY	Test Day	dbl	numeric	double	58	0	c(1064, 1246)
21	22	IOSOR_q1DY	Day Overread	dbl	numeric	double	70	0	c(1092, 1314)
