	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	198	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""MHU_V2"", ""MHU_V2"")"
3	4	evid	evid	dbl	numeric	double	198	0	c(51632, 63231)
4	5	event	event	chr	character	character	1	0	"c(""120-Month Clinic Visit"", ""120-Month Clinic Visit"")"
5	6	version	version	chr	character	character	1	0	"c(""2.0"", ""2.0"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	2	0	"c("".x"", ""120"")"
8	9	MHU_V2_q1	Has a doctor ever told you that you have hay fever or allergic rhinitis or allergies in the nose	dbl	numeric	double	3	10	c(0, 1)
9	10	MHU_V2_q2	Has a doctor ever told you that you have chronic sinusitis, recurrent sinusitis or do you get more than 2 episodes of acute sinusitis in one year for which a doctor prescribes treatment with antibiotics	dbl	numeric	double	3	10	c(0, 1)
10	11	MHU_V2_q3	Over the past 12 months, do you sneeze when you do not have a cold or the flu	dbl	numeric	double	3	10	c(0, 1)
11	12	MHU_V2_q4	Over the past 12 months, do you get a stuffy nose when you do not have a cold or the flu	dbl	numeric	double	3	10	c(0, 1)
12	13	MHU_V2_q5	Over the past 12 months, do you get a runny nose when you do not have a cold or the flu	dbl	numeric	double	3	10	c(0, 1)
13	14	MHU_V2_q6	Over the past 12 months, do you have post-nasal drip (secretions dripping in the back of your throat) when you do not have a cold or the flu	dbl	numeric	double	3	10	c(0, 1)
14	15	MHU_V2_q7	Over the past 12 months, do you get sinus pressure OR sinus headaches when you do not have a cold or the flu	dbl	numeric	double	3	10	c(0, 1)
15	16	MHU_V2_q8	At what age did your nose or sinus symptoms start	dbl	numeric	double	44	58	c(1, 47)
16	17	MHU_V2_q9a	What sets off or triggers symptoms - Cats	chr	character	character	5	0	"c("".a"", ""1"")"
17	18	MHU_V2_q9b	What sets off or triggers symptoms - Dogs	chr	character	character	5	0	"c("".a"", ""1"")"
18	19	MHU_V2_q9c	What sets off or triggers symptoms - Other animals	chr	character	character	5	0	"c("".a"", ""1"")"
19	20	MHU_V2_q9d	What sets off or triggers symptoms - Dusty places	chr	character	character	5	0	"c("".a"", ""1"")"
20	21	MHU_V2_q9e	What sets off or triggers symptoms - Moldy places	chr	character	character	5	0	"c("".a"", ""1"")"
