	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	12	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""MVS"", ""MVS"")"
3	4	evid	evid	dbl	numeric	double	12	0	c(44234, 44595)
4	5	event	event	chr	character	character	1	0	"c(""MiCHD Validation Study"", ""MiCHD Validation Study"")"
5	6	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
6	7	status	status	chr	character	character	1	0	"c(""complete"", ""complete"")"
7	8	aVisit	Visit	chr	character	character	1	0	"c(""mvs"", ""mvs"")"
8	9	MVS_q1	MVS Study ID Number	dbl	numeric	double	1	12	
9	10	MVS_q4	Sample Collection Summary - Start Time	time	"c(""hms"", ""difftime"")"	double	12	0	c(37980, 56100)
10	11	MVS_q5	Sample Collection Summary - Temperature in Fahrenheit	dbl	numeric	double	12	0	c(75.2, 92.1)
11	12	MVS_q6	Sample Collection Summary - Relative Humidity	dbl	numeric	double	12	0	c(26, 65)
12	13	MVS_q7	Sample Collection Summary - Vacuum Number	dbl	numeric	double	2	0	c(1, 2)
13	14	MVS_q8	Child's Bed - Was the bed sampled?	dbl	numeric	double	1	0	c(1, 1)
14	15	MVS_q8_1	Bed Sample	chr	character	character	12	0	"c(""mbvs001"", ""mbvs056"")"
15	16	MVS_q9	Child's Bed - How long ago did you last change/wash the sheets	dbl	numeric	double	3	0	c(1, 3)
16	17	MVS_q9a	Child's Bed - How long ago did you wash the sheets - Time frame	dbl	numeric	double	2	0	c(1, 2)
17	18	MVS_q10	Child's Bed - What is the size of the mattress that was sampled?	dbl	numeric	double	3	0	c(1, 3)
18	19	MVS_q10a	Child's Bed - What is the size of the mattress that was sampled - Specify	chr	character	character	1	0	"c("".a"", "".a"")"
19	20	MVS_q11a	Child's Bed - Length of Area Vacuumed on Bed	dbl	numeric	double	1	0	c(100, 100)
20	21	MVS_q11b	Child's Bed - Width of Area Vacuumed on Bed	dbl	numeric	double	1	0	c(100, 100)
21	22	MVS_q12a	Child's Bed - Impermeable Cover - Mattress	dbl	numeric	double	2	0	c(0, 1)
22	23	MVS_q12b	Child's Bed - Impermeable Cover - Boxspring	dbl	numeric	double	2	0	c(0, 1)
23	24	MVS_q12c	Child's Bed - Impermeable Cover - Boxspring	dbl	numeric	double	2	1	c(0, 0)
24	25	MVS_q13	Child's Bed - List any deviations from the protocol for the bedroom bed collection	chr	character	character	2	0	"c("".a"", ""time collected 1 min. 45 sec. on mattress"")"
25	26	MVS_q14	Child's Bedroom Floor - Was the bedroom floor sampled	dbl	numeric	double	1	0	c(1, 1)
26	27	MVS_q14_1	Bedroom Floor Sample	chr	character	character	12	0	"c(""mbvs002"", ""mbvs057"")"
27	28	MVS_q15	Child's Bedroom Floor - How long ago did you last vacuum this room	dbl	numeric	double	5	0	c(0, 12)
28	29	MVS_q15a	Child's Bedroom Floor - How long ago did you last vacuum this room - Time frame	dbl	numeric	double	2	0	c(1, 2)
29	30	MVS_q16a	Child's Bedroom Floor - Type of surface - Rug	dbl	numeric	double	2	0	c(0, 1)
30	31	MVS_q16b	Child's Bedroom Floor - Type of surface - Linoleum/vinyl	dbl	numeric	double	1	0	c(0, 0)
31	32	MVS_q16c	Child's Bedroom Floor - Type of surface - Tile	dbl	numeric	double	1	0	c(0, 0)
32	33	MVS_q16d	Child's Bedroom Floor - Type of surface - Wood	dbl	numeric	double	2	0	c(0, 1)
33	34	MVS_q16e	Child's Bedroom Floor - Type of surface - Concrete	dbl	numeric	double	1	0	c(0, 0)
34	35	MVS_q16f	Child's Bedroom Floor - Type of surface - Other	dbl	numeric	double	1	0	c(0, 0)
35	36	MVS_q16f1	Child's Bedroom Floor - type of surface - Other specify	chr	character	character	1	0	"c("".a"", "".a"")"
36	37	MVS_q17a	Child's Bedroom Floor - Length of Area Vacuumed on the floor	dbl	numeric	double	1	0	c(100, 100)
37	38	MVS_q17b	Child's Bedroom Floor - Width of Area Vacuumed on the floor	dbl	numeric	double	1	0	c(100, 100)
