	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	474	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""RAS3"", ""RAS3"")"
3	4	evid	evid	dbl	numeric	double	5620	0	c(51259, 63231)
4	5	event	event	chr	character	character	12	0	"c(""102-Month Call"", ""99-Month Call"")"
5	6	version	version	chr	character	character	3	0	"c(""1.0"", ""1.2"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	13	0	"c("".x"", ""99"")"
8	9	RAS3_q1	Number of Colds Child Has Had Since Birth/Last Time Spoken With Mother	dbl	numeric	double	8	224	c(0, 6)
9	10	RAS3_q2	Child Has Had Stuffy/Runny Nose Without Cold	dbl	numeric	double	3	224	c(0, 1)
10	11	RAS3_q2a	How Often Child Has Had Runny/Stuffy Nose Without Cold	dbl	numeric	double	4	3827	c(1, 3)
11	12	RAS3_q3	Medication Given To Child For Runny/Stuffy Nose	dbl	numeric	double	3	2900	c(0, 1)
12	13	RAS3_q4	Child Has Had Cough Since Last Time We Spoke	dbl	numeric	double	3	224	c(0, 1)
13	14	RAS3_q4a	Number of Illnesses Child Has Had With Cough	dbl	numeric	double	8	3946	c(0, 6)
14	15	RAS3_q4b	Last 14 Days - Total Days Child Has Had Cold With Cough	dbl	numeric	double	15	3947	c(0, 14)
15	16	RAS3_q5	Child Has Had Cough Without Cold	dbl	numeric	double	3	3946	c(0, 1)
16	17	RAS3_q6	Medication Given To Child For Cough	dbl	numeric	double	3	4018	c(0, 1)
17	18	RAS3_q8	Childs Chest Has Made Wheezing Sound Since Last Time Spoken With Mother	dbl	numeric	double	3	224	c(0, 1)
18	19	RAS3_q8a	Number of Illnesses Child Has Had With Wheezing	dbl	numeric	double	9	4920	c(0, 8)
19	20	RAS3_q8a1	Number of Illnesses Child Has Had Difficulty Breathing	dbl	numeric	double	9	5140	c(0, 8)
20	21	RAS3_q8b	Last 14 Days - Total Days Child Has Had Wheezing in Chest	dbl	numeric	double	13	4920	c(0, 14)
21	22	RAS3_q10	Child Has Had Wheezing Without Cold	dbl	numeric	double	3	4920	c(0, 1)
22	23	RAS3_q10_1	Since Last Time - Chest Sounded Wheezy or Whistling After Exercise	dbl	numeric	double	3	4920	c(0, 1)
23	24	RAS3_q10_2	Since Last Time - Chest Sounded Wheezy Or Whistling When Breathing Cold Air	dbl	numeric	double	3	4920	c(0, 1)
24	25	RAS3_q11	Health Care Provider Said Child Was Wheezing	dbl	numeric	double	3	4920	c(0, 1)
25	26	RAS3_q12	Medication Given To Child For Wheezing	dbl	numeric	double	3	4920	c(0, 1)
26	27	RAS3_q12_2	Last 14 Days-Total Days Child had to Slow Down	dbl	numeric	double	15	4920	c(0, 14)
27	28	RAS3_q12_3	Last 14 Nights-Total Night Child has Awakened	dbl	numeric	double	15	4920	c(0, 14)
28	29	RAS3_q12_4	Use Prednisone since last time we talked	dbl	numeric	double	3	4965	c(0, 1)
29	30	RAS3_q12_4a	Prednisone bursts taken	dbl	numeric	double	7	5502	c(0, 5)
30	31	RAS3_q13a	Illnesses Child Has Had - Sinus Infection	dbl	numeric	double	3	224	c(0, 1)
31	32	RAS3_q13a1	Specify How Many Sinus Infections Child Has Had	dbl	numeric	double	4	5548	c(0, 2)
32	33	RAS3_q13a1a	Medication Given For Sinus Infection	dbl	numeric	double	3	5548	c(0, 1)
33	34	RAS3_q13b	Illnesses Child Has Had - Ear Infection	dbl	numeric	double	3	224	c(0, 1)
34	35	RAS3_q13b1	Specify How Many Ear Infections Child Has Had	dbl	numeric	double	5	5529	c(0, 3)
35	36	RAS3_q13b1a	Medication Given For Ear Infection	dbl	numeric	double	3	5529	c(0, 1)
36	37	RAS3_q13c	Illnesses Child Has Had - Croup	dbl	numeric	double	3	224	c(0, 1)
37	38	RAS3_q13c1	Medication Given For Croup	dbl	numeric	double	3	5599	c(0, 1)
38	39	RAS3_q13d	Illnesses Child Has Had - Pneumonia or Bronchitis	dbl	numeric	double	3	224	c(0, 1)
39	40	RAS3_q13d1	Specify How Many Times Child Has Had Pneumonia or Bronchitis	dbl	numeric	double	3	5604	c(0, 1)
40	41	RAS3_q13d1a	Medication Given For Pneumonia or Bronchitis	dbl	numeric	double	3	5604	c(0, 1)
41	42	RAS3_q13e	llnesses Child Has Had - Chicken Pox	dbl	numeric	double	3	224	c(0, 1)
42	43	RAS3_q13e1	Medication Given For Chicken Pox	dbl	numeric	double	3	5618	c(0, 1)
43	44	RAS3_q13f	llnesses Child Has Had - Stomach Flu	dbl	numeric	double	3	224	c(0, 1)
44	45	RAS3_q13f1	Medication Given For Stomach Flu	dbl	numeric	double	3	5282	c(0, 1)
45	46	RAS3_q13g_1	llnesses Child Has Had - Sore Throat or Tonsillitis	dbl	numeric	double	3	224	c(0, 1)
46	47	RAS3_q13g_1a	Medication Given For Sore Throat or Tonsillitis	dbl	numeric	double	3	5239	c(0, 1)
47	48	RAS3_q13h	lnesses Child Has Had - Other Illnesses	dbl	numeric	double	3	224	c(0, 1)
48	49	RAS3_q13h1a	Medication Given For Other Illnesses	dbl	numeric	double	3	5281	c(0, 1)
49	50	RAS3_q15a	Health Care Provider Diagnosed Child With Eczema	dbl	numeric	double	3	224	c(0, 1)
50	51	RAS3_q15a1	Medications Given For Eczema	dbl	numeric	double	3	5314	c(0, 1)
51	52	RAS3_q15b	Health Care Provider Diagnosed Child With Hives	dbl	numeric	double	3	224	c(0, 1)
52	53	RAS3_q15b1	Medications Given For Hives	dbl	numeric	double	3	5553	c(0, 1)
53	54	RAS3_q16	Child Has Had Other Rashes or Skin Conditions	dbl	numeric	double	3	224	c(0, 1)
54	55	RAS3_q16b	Medications Given For Other Rashes or Skin Conditions	dbl	numeric	double	3	5257	c(0, 1)
55	56	RAS3_q17	Child Has Been Given Tylenol For Any Health Problems	dbl	numeric	double	3	224	c(0, 1)
56	57	RAS3_q17_1	Has [CHILD] been given oral steroids or a shot of steroids for asthma, wheezing, or any other breathing problems	dbl	numeric	double	3	224	c(0, 1)
