	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	277	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""RIFPC2"", ""RIFPC2"")"
3	4	evid	evid	dbl	numeric	double	929	0	c(33448, 66445)
4	5	event	event	chr	character	character	1	0	"c(""Respiratory Illness Followup Call"", ""Respiratory Illness Followup Call"")"
5	6	version	version	chr	character	character	5	0	"c(""1.0"", ""1.4"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	2	0	"c("".x"", ""r"")"
8	9	RIFPC2_q2	Child Still Sick	dbl	numeric	double	3	296	c(0, 1)
9	10	RIFPC2_q2a	Number of Days Illness Lasted	dbl	numeric	double	37	474	c(0, 120)
10	11	RIFPC2_q3	Child See Doctor for Illness	dbl	numeric	double	3	296	c(0, 1)
11	12	RIFPC2_q3a	Number of Times Seen By Doctor For Illness	dbl	numeric	double	5	799	c(1, 4)
12	13	RIFPC2_q3c1	Most Recent Visit To Doctor - Month Estimated	dbl	numeric	double	2	799	c(0, 0)
13	14	RIFPC2_q3d1	Most Recent Visit To Doctor - Day Estimated	dbl	numeric	double	3	799	c(0, 1)
14	15	RIFPC2_q3e1	Most Recent Visit to Doctor - Scheduled/Unscheduled	dbl	numeric	double	5	754	c(1, 4)
15	16	RIFPC2_q3f1	Most Recent Visit to Doctor - Well Child/Sick	dbl	numeric	double	4	754	c(1, 3)
16	17	RIFPC2_q3g1	Most Recent Visit to Doctor - First Diagnosis	dbl	numeric	double	15	754	c(0, 17)
17	18	RIFPC2_q3h1	Most Recent Visit to Doctor - Second Diagnosis	dbl	numeric	double	14	829	c(0, 17)
18	19	RIFPC2_q3i_1_1	Most Recent Visit to Doctor - Nebulizer/Inhaler Treatment	dbl	numeric	double	3	766	c(0, 1)
19	20	RIFPC2_q3c2	Visit #2 to Doctor - Month Estimated	dbl	numeric	double	2	905	c(0, 0)
20	21	RIFPC2_q3d2	Visit #2 to Doctor - Day Estimated	dbl	numeric	double	3	905	c(0, 1)
21	22	RIFPC2_q3e2	Visit #2 to Doctor - Scheduled/Unscheduled	dbl	numeric	double	5	901	c(1, 4)
22	23	RIFPC2_q3f2	Visit #2 to Doctor - Well Child/Sick	dbl	numeric	double	2	901	c(1, 1)
23	24	RIFPC2_q3g2	Visit #2 to Doctor - First Diagnosis	dbl	numeric	double	10	901	c(2, 17)
24	25	RIFPC2_q3h2	Visit #2 to Doctor - Second Diagnosis	dbl	numeric	double	8	910	c(0, 15)
25	26	RIFPC2_q3i_1_2	Visit #2 to Doctor - Nebulizer/Inhaler Treatment	dbl	numeric	double	3	901	c(0, 1)
26	27	RIFPC2_q3c3	Visit #3 to Doctor - Month Estimated	dbl	numeric	double	2	923	c(0, 0)
27	28	RIFPC2_q3d3	Visit #3 to Doctor - Day Estimated	dbl	numeric	double	2	923	c(0, 0)
28	29	RIFPC2_q3e3	Visit #3 to Doctor - Scheduled/Unscheduled	dbl	numeric	double	4	923	c(1, 3)
29	30	RIFPC2_q3f3	Visit #3 to Doctor - Well Child/Sick	dbl	numeric	double	2	923	c(1, 1)
30	31	RIFPC2_q3g3	Visit #3 to Doctor - First Diagnosis	dbl	numeric	double	7	923	c(0, 14)
31	32	RIFPC2_q3h3	Visit #3 to Doctor - Second Diagnosis	dbl	numeric	double	3	926	c(0, 8)
32	33	RIFPC2_q3i_1_3	Visit #3 to Doctor - Nebulizer/Inhaler Treatment	dbl	numeric	double	2	924	c(0, 0)
33	34	RIFPC2_q3c4	Visit #4 to Doctor - Month Estimated	dbl	numeric	double	2	927	c(0, 0)
34	35	RIFPC2_q3d4	Visit #4 to Doctor - Day Estimated	dbl	numeric	double	2	927	c(0, 0)
