	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	108	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""RL3"", ""RL3"")"
3	4	evid	evid	dbl	numeric	double	1276	0	c(52307, 62045)
4	5	event	event	chr	character	character	12	0	"c(""102-Month Call"", ""99-Month Call"")"
5	6	version	version	chr	character	character	1	0	"c(""1.0"", ""1.0"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	13	0	"c("".x"", ""99"")"
8	9	RL3_q1	87 month call	dbl	numeric	double	3	434	c(0, 1)
9	10	RL3_q1a	87 month call Method - Cash	dbl	numeric	double	3	1181	c(0, 1)
10	11	RL3_q1b	87 month call Method - Check	dbl	numeric	double	3	1181	c(0, 1)
11	12	RL3_q1c	87 month call Method - Money order	dbl	numeric	double	2	1181	c(0, 0)
12	13	RL3_q1d	87 month call Method - Gift card/cert.	dbl	numeric	double	2	1181	c(0, 0)
13	14	RL3_q1e	87 month call Ref. Number	chr	character	character	3	0	"c("".a"", ""0"")"
14	15	RL3_q1f	87 month call Amount - Participant	dbl	numeric	double	2	1181	c(0, 0)
15	16	RL3_q1g	87 month call Amount - Caretaker	dbl	numeric	double	6	1181	c(0, 32)
16	17	RL3_q1h	87 month call Amount - Other	dbl	numeric	double	3	1181	c(0, 32)
17	18	RL3_q2	90 month call	dbl	numeric	double	3	380	c(0, 1)
18	19	RL3_q2a	90 month call Method - Cash	dbl	numeric	double	3	1174	c(0, 1)
19	20	RL3_q2b	90 month call Method - Check	dbl	numeric	double	3	1174	c(0, 1)
20	21	RL3_q2c	90 month call Method - Money order	dbl	numeric	double	2	1174	c(0, 0)
21	22	RL3_q2d	90 month call Method - Gift card/cert.	dbl	numeric	double	2	1174	c(0, 0)
