	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	3	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""SAE"", ""SAE"")"
3	4	evid	evid	dbl	numeric	double	4	0	c(19498, 62127)
4	5	event	event	chr	character	character	1	0	"c(""Serious Adverse Events"", ""Serious Adverse Events"")"
5	6	version	version	chr	character	character	2	0	"c(""1.3"", ""1.4"")"
6	7	status	status	chr	character	character	1	0	"c(""complete"", ""complete"")"
7	8	aVisit	Visit	chr	character	character	2	0	"c(""93"", ""u"")"
8	9	SAE_q1	Type of Report	dbl	numeric	double	2	0	c(1, 2)
9	10	SAE_q1a	SAE Previously Reported as Adverse Event	dbl	numeric	double	2	3	c(2, 2)
10	11	SAE_q1b	Who Report is For	dbl	numeric	double	2	3	c(2, 2)
11	12	SAE_q1c	Gender of Child	dbl	numeric	double	2	3	c(1, 1)
12	13	SAE_q4	Outcome of SAE	dbl	numeric	double	3	2	c(4, 6)
13	14	SAE_q6	Duration of SAE	dbl	numeric	double	2	5	c(18, 18)
14	15	SAE_q8	Type of Event	dbl	numeric	double	2	4	c(2, 2)
15	16	SAE_q9	Severity of Event	dbl	numeric	double	3	2	c(4, 5)
16	17	SAE_q10a	Serious - Fatal	dbl	numeric	double	3	1	c(0, 1)
17	18	SAE_q10a1	Serious - Fatal - Autopsy Performed	dbl	numeric	double	2	3	c(1, 1)
18	19	SAE_q10b	Serious - Life-threatening	dbl	numeric	double	3	2	c(0, 1)
19	20	SAE_q10c	Serious - Hospitalization	dbl	numeric	double	3	2	c(0, 1)
20	21	SAE_q10d	Serious - Hospitalization Prolonged	dbl	numeric	double	2	2	c(0, 0)
21	22	SAE_q10e	Serious - Disabling or Incapacitating	dbl	numeric	double	2	3	c(0, 0)
22	23	SAE_q10f	Serious - Required Intervention to Prevent One of the Above	dbl	numeric	double	3	3	c(0, 1)
23	24	SAE_q10g	Serious - Other	dbl	numeric	double	3	2	c(0, 1)
24	25	SAE_q11	Procedure SAE was Related to	dbl	numeric	double	1	6	
25	26	SAE_q12	Relationship	dbl	numeric	double	2	2	c(1, 1)
26	27	SAE_q13	Number of Diagnostic/Laboratory Findings	dbl	numeric	double	3	2	c(0, 10)
27	28	SAE_q14	Number of Concomitant Meds Used at Time of SAE	dbl	numeric	double	3	2	c(0, 13)
28	29	SAE_q14g1	Medications for Treatment or for Onset of SAE - Con Med or Treat. Med #1	dbl	numeric	double	2	5	c(0, 0)
29	30	SAE_q14g2	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med #2	dbl	numeric	double	2	5	c(0, 0)
30	31	SAE_q14g3	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med #3	dbl	numeric	double	2	5	c(0, 0)
31	32	SAE_q14g4	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med #4	dbl	numeric	double	2	5	c(0, 0)
32	33	SAE_q14g5	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med #5	dbl	numeric	double	2	5	c(0, 0)
33	34	SAE_q14g6	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med #6	dbl	numeric	double	2	5	c(0, 0)
34	35	SAE_q14g7	Medications for Treatment or for Onset of SAE - Con. Med or Treat. Med#7	dbl	numeric	double	2	5	c(0, 0)
