	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	491	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""SOR"", ""SOR"")"
3	4	evid	evid	dbl	numeric	double	3047	0	c(304, 65054)
4	5	event	event	chr	character	character	17	0	"c(""108-Month Clinic Visit"", ""Respiratory Illness Followup Call"")"
5	6	version	version	chr	character	character	5	0	"c(""1.2"", ""1.6"")"
6	7	status	status	chr	character	character	1	0	"c(""complete"", ""complete"")"
7	8	aTI	Technician's Initials	chr	character	character	46	0	"c(""af"", ""yfp"")"
8	9	SOR_q3	Age of Participant	dbl	numeric	double	9	0	c(2, 10)
9	10	SOR_q4	Test Criteria Used	dbl	numeric	double	3	0	c(1, 3)
10	11	SOR_q4a	Test Criteria Used - Specify	chr	character	character	2	0	"c("".a"", ""ats not met"")"
11	12	SOR_q4_1	What type of test was performed	dbl	numeric	double	3	998	c(1, 2)
12	13	SOR_q5	Technician's Evaluation of Testing Session	dbl	numeric	double	5	0	c(0, 4)
13	14	SOR_q5_1	Did The Technician Select The Correct Best Maneuver?	dbl	numeric	double	3	380	c(0, 1)
14	15	SOR_q6a	Acceptability Evaluation of Best Maneuver - Satisfactory Start	dbl	numeric	double	3	387	c(0, 1)
15	16	SOR_q6b	Acceptability Evaluation of Best Maneuver - Determined Peak Flow	dbl	numeric	double	3	387	c(0, 1)
16	17	SOR_q6c	Acceptability Evaluation of Best Maneuver - Acceptable FET	dbl	numeric	double	3	387	c(0, 1)
17	18	SOR_q6d	Acceptability Evaluation of Best Maneuver - Free of Cough/Glottic Closure	dbl	numeric	double	3	387	c(0, 1)
18	19	SOR_q6e	Acceptability Evaluation of Best Maneuver - Free of Abrupt Ending Sharp Drop Where Flow > 25% of Peak Expiatory Flow	dbl	numeric	double	3	387	c(0, 1)
19	20	SOR_q6a1	Number of Acceptable Best Maneuvers	dbl	numeric	double	7	387	c(0, 5)
20	21	SOR_q7a	Maneuver Reproducibility Evaluation - FVC	dbl	numeric	double	1	4605	
21	22	SOR_q7a_1	Maneuver reproducibility evaluation - FVC: Did the 2 highest measurements agree within 100ml (10%)	dbl	numeric	double	3	505	c(0, 1)
22	23	SOR_q7b	Maneuver Reproducibility Evaluation - FEV1	dbl	numeric	double	1	4605	
23	24	SOR_q7b_1	Maneuver reproducibility evaluation - FEV0.5: Did the 2 highest measurements agree within 100ml (10%)	dbl	numeric	double	3	3473	c(0, 1)
24	25	SOR_q7c_1	Maneuver reproducibility evaluation - FEV1: Did the 2 highest measurements agree within 100ml (10%)	dbl	numeric	double	3	1607	c(0, 1)
25	26	SOR_q8	Tech Test Session Eval  Score	dbl	numeric	double	1	4605	
26	27	SOR_q9	Best Maneuver Acceptability Eval Score	dbl	numeric	double	1	4605	
27	28	SOR_q10a	Maneuver Reproducibility Eval Score - FVC	dbl	numeric	double	1	4605	
28	29	SOR_q10b	Maneuver Reproducibility Eval Score - FEV1	dbl	numeric	double	1	4605	
29	30	SOR_q11	Results Acceptable to Overreader	dbl	numeric	double	2	0	c(0, 1)
30	31	SOR_q13	Values to be used for data analysis	dbl	numeric	double	3	0	c(0, 2)
31	32	SOR_q13a1	Overreader corrected values - FVC	dbl	numeric	double	144	4350	c(0.43, 3.23)
32	33	SOR_q13a2	Overreader corrected values - FEV1	dbl	numeric	double	134	4312	c(0.42, 2.31)
33	34	SOR_q13a3	Overreader corrected values - FEV0.5	dbl	numeric	double	116	4035	c(0.28, 1.85)
34	35	SOR_q13a4	Overreader corrected values - FEV0.75	dbl	numeric	double	120	4260	c(0.37, 2.17)
35	36	SOR_q13a5	Overreader corrected values - FEF25-75	dbl	numeric	double	167	4293	c(0.29, 2.98)
36	37	SOR_q15	Does the technician need to review this session	dbl	numeric	double	3	997	c(0, 1)
37	38	SOR_q16	Did the technician review this session	dbl	numeric	double	3	4373	c(0, 1)
38	39	aTestDY	Test Day	dbl	numeric	double	1088	0	c(-29957, 3933)
39	40	SOR_q1DY	Day Overread	dbl	numeric	double	1650	0	c(1056, 4415)
