	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	avisit		dbl	numeric	double	40	0	c(3, 120)
5	6	year		dbl	numeric	double	10	0	c(1, 10)
6	7	evid	evid	dbl	numeric	double	18504	5857	c(292, 63231)
7	8	event	event	chr	character	character	41	0	"c("""", ""99-Month Call"")"
8	9	version	version	chr	character	character	18	0	"c("""", ""1.9"")"
9	10	status	status	chr	character	character	2	0	"c("""", ""complete"")"
10	11	num_colds	Number of Colds Child Has Had Since Birth/Last Time Spoken With Mother	dbl	numeric	double	15	5857	c(0, 32)
11	12	stuffynose_nocold	Child Has Had Stuffy/Runny Nose Without Cold	dbl	numeric	double	3	5857	c(0, 1)
12	13	stuffynose_freq	How Often Child Has Had Runny/Stuffy Nose Without Cold	dbl	numeric	double	4	18181	c(1, 3)
13	14	stuffnose_meds	Medication Given To Child For Runny/Stuffy Nose	dbl	numeric	double	3	12951	c(0, 1)
14	15	stuffynose_homerems	Home Remedies Runny or Stuffy Nose	dbl	numeric	double	3	17349	c(0, 1)
15	16	cough	Child Has Had Cough Since Birth/Last Time Spoken With Mother	dbl	numeric	double	3	5858	c(0, 1)
16	17	cough_numillness	Number of Illnesses Child Has Had With Cough	dbl	numeric	double	13	17006	c(0, 20)
17	18	cold_cough_totdays	Last 14 Days - Total Days Child Has Had Cold With Cough	dbl	numeric	double	16	17007	c(0, 14)
18	19	cough_nocold	Child Has Had Cough Without Cold	dbl	numeric	double	3	17006	c(0, 1)
19	20	cough_meds	Medication Given To Child For Cough	dbl	numeric	double	3	18195	c(0, 1)
20	21	cough_homerems	Home Remedies for a Cough	dbl	numeric	double	3	20124	c(0, 1)
21	22	cough_timeofday	Time of Day Child Has Had Most Trouble With Cough	dbl	numeric	double	6	19798	c(1, 5)
22	23	wheeze	Childs Chest Has Made Wheezing Sound Since Birth/Last Time Spoken With Mother	dbl	numeric	double	3	5861	c(0, 1)
23	24	wheeze_numillness	Number of Illnesses Child Has Had With Wheezing	dbl	numeric	double	13	5862	c(0, 20)
24	25	hardbreathe_numillness	Number of Illnesses Child Has Had Difficulty Breathing	dbl	numeric	double	12	22022	c(0, 20)
25	26	wheeze_totdays	Last 14 Days - Total Days Child Has Had Wheezing in Chest	dbl	numeric	double	17	21294	c(0, 28)
26	27	wheeze_timeofday	Time of Day Child Has Had Most Trouble With Wheezing	dbl	numeric	double	6	21993	c(1, 5)
27	28	wheeze_nocold	Child Has Had Wheezing Without Cold	dbl	numeric	double	3	21293	c(0, 1)
28	29	wheeze_docsaid	Health Care Provider Said Child Was Wheezing	dbl	numeric	double	3	21293	c(0, 1)
29	30	wheeze_meds	Medication Given To Child For Wheezing	dbl	numeric	double	3	21292	c(0, 1)
30	31	wheeze_homerems	Home Remedies for Wheezing	dbl	numeric	double	3	22499	c(0, 1)
31	32	sinus_infec	Illnesses Child Has Had - Sinus Infection	dbl	numeric	double	3	5860	c(0, 1)
32	33	sinus_infec_freq	Specify How Many Sinus Infections Child Has Had	dbl	numeric	double	10	23998	c(0, 99)
33	34	sinus_infec_meds	Medication Given For Sinus Infection	dbl	numeric	double	3	23996	c(0, 1)
34	35	ear_infec	Illnesses Child Has Had - Ear Infection	dbl	numeric	double	3	5859	c(0, 1)
35	36	ear_infec_freq	Specify How Many Ear Infections Child Has Had	dbl	numeric	double	9	23311	c(0, 10)
36	37	ear_infec_meds	Medication Given For Ear Infection	dbl	numeric	double	3	23312	c(0, 1)
37	38	croup	Illnesses Child Has Had - Croup	dbl	numeric	double	3	5860	c(0, 1)
38	39	croup_meds	Medication Given For Croup	dbl	numeric	double	3	24152	c(0, 1)
39	40	pneu_bronc	Illnesses Child Has Had - Pneumonia or Bronchitis	dbl	numeric	double	3	5860	c(0, 1)
40	41	pneu_bronc_freq	Specify How Many Times Child Has Had Pneumonia or Bronchitis	dbl	numeric	double	6	24138	c(0, 4)
41	42	pneu_bronc_meds	Medication Given For Pneumonia or Bronchitis	dbl	numeric	double	3	24139	c(0, 1)
42	43	chixpox	llnesses Child Has Had - Chicken Pox	dbl	numeric	double	3	5860	c(0, 1)
43	44	chixpox_meds	Medication Given For Chicken Pox	dbl	numeric	double	3	24334	c(0, 1)
44	45	stomach_flu	llnesses Child Has Had - Stomach Flu	dbl	numeric	double	3	5860	c(0, 1)
45	46	stomach_flu_meds	Medication Given For Stomach Flu	dbl	numeric	double	3	22831	c(0, 1)
46	47	unex_fever	llnesses Child Has Had - Unexplained Fever	dbl	numeric	double	3	11255	c(0, 1)
47	48	unex_fever_freq	Specify How Many Times Child Has Had Unexplained Fever	dbl	numeric	double	9	23367	c(1, 9)
