	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	492	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""IOSOR_V2"", ""IOSOR_V2"")"
3	4	evid	evid	dbl	numeric	double	2708	0	c(304, 65054)
4	5	event	event	chr	character	character	16	0	"c(""108-Month Clinic Visit"", ""Respiratory Illness Followup Call"")"
5	6	version	version	chr	character	character	3	0	"c(""2.0"", ""2.2"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	IOSOR_V2_q3	Age of Participant	dbl	numeric	double	10	7	c(2, 10)
8	9	IOSOR_V2_q3_1	What type of test was performed	dbl	numeric	double	3	843	c(1, 2)
9	10	IOSOR_V2_q4a	Acceptability of Maneuver 1	dbl	numeric	double	3	3174	c(0, 1)
10	11	IOSOR_V2_q4b	Acceptability of Maneuver 2	dbl	numeric	double	3	3175	c(0, 1)
11	12	IOSOR_V2_q4c	Acceptability of Maneuver 3	dbl	numeric	double	3	3178	c(0, 1)
12	13	IOSOR_V2_q4a1	Acceptability of Maneuver 1 - Satisfactory Tidal Breathing	dbl	numeric	double	3	786	c(0, 1)
13	14	IOSOR_V2_q4b1	Acceptability of Maneuver 1 - Minimum of 4 breaths/15 seconds of data	dbl	numeric	double	3	786	c(0, 1)
14	15	IOSOR_V2_q4c1	Acceptability of Maneuver 1 - X5 values are negative	dbl	numeric	double	3	786	c(0, 1)
15	16	IOSOR_V2_q4d1	Acceptability of Maneuver 1 - Correct window was chosen	dbl	numeric	double	3	788	c(0, 1)
16	17	IOSOR_V2_q4a2	Acceptability of Maneuver 2 - Satisfactory Tidal Breathing	dbl	numeric	double	3	795	c(0, 1)
17	18	IOSOR_V2_q4b2	Acceptability of Maneuver 2 - Minimum of 4 breaths/15 seconds of data	dbl	numeric	double	3	795	c(0, 1)
18	19	IOSOR_V2_q4c2	Acceptability of Maneuver 2 - X5 values are negative	dbl	numeric	double	3	795	c(0, 1)
19	20	IOSOR_V2_q4d2	Acceptability of Maneuver 2 - Correct window was chosen	dbl	numeric	double	3	795	c(0, 1)
20	21	IOSOR_V2_q4a3	Acceptability of Maneuver 3 - Satisfactory Tidal Breathing	dbl	numeric	double	3	814	c(0, 1)
21	22	IOSOR_V2_q4b3	Acceptability of Maneuver 3 - Minimum of 4 breaths/15 seconds of data	dbl	numeric	double	3	814	c(0, 1)
22	23	IOSOR_V2_q4c3	Acceptability of Maneuver 3 - X5 values are negative	dbl	numeric	double	3	814	c(0, 1)
23	24	IOSOR_V2_q4d3	Acceptability of Maneuver 3 - Correct window was chosen	dbl	numeric	double	3	815	c(0, 1)
24	25	IOSOR_V2_q5a	Acceptibility of the testing session - 3 acceptable maneuvers, no more than 8	dbl	numeric	double	3	16	c(0, 1)
25	26	IOSOR_V2_q5b	Acceptibility of the testing session - 3 maneuvers with coherence of R10 >= 0.80	dbl	numeric	double	3	16	c(0, 1)
26	27	IOSOR_V2_q5c	Acceptibility of the testing session - Reproducibility of R10	dbl	numeric	double	3	16	c(0, 1)
27	28	IOSOR_V2_q6a	Maneuver meets acceptability criteria - First Maneuver	dbl	numeric	double	3	3174	c(0, 1)
28	29	IOSOR_V2_q6b	Maneuver meets acceptability criteria - Second Maneuver	dbl	numeric	double	3	3175	c(0, 1)
29	30	IOSOR_V2_q6c	Maneuver meets acceptability criteria - Third Maneuver	dbl	numeric	double	3	3178	c(0, 1)
30	31	IOSOR_V2_q6a1	Maneuver meets acceptability criteria - First Maneuver	dbl	numeric	double	3	785	c(0, 1)
31	32	IOSOR_V2_q6a2	Maneuver meets acceptability criteria - Second Maneuver	dbl	numeric	double	3	794	c(0, 1)
32	33	IOSOR_V2_q6a3	Maneuver meets acceptability criteria - Third Maneuver	dbl	numeric	double	3	806	c(0, 1)
33	34	IOSOR_V2_q6b1	Comments were provided by the technician	dbl	numeric	double	3	782	c(0, 1)
34	35	IOSOR_V2_q7	Were the results of the evaluation acceptable to the overreader?	dbl	numeric	double	3	14	c(0, 1)
35	36	IOSOR_V2_q8	What is the overreader's assessment of the first IOS maneuver	dbl	numeric	double	4	7	c(1, 3)
36	37	IOSOR_V2_q8a1	Overreader corrected values - R5	dbl	numeric	double	94	3775	c(0.38, 2.06)
37	38	IOSOR_V2_q8a2	Overreader corrected values - R10	dbl	numeric	double	83	3773	c(0.31, 1.47)
38	39	IOSOR_V2_q8a5	Overreader corrected values - R20	dbl	numeric	double	15	3925	c(0.27, 0.67)
