	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	ID		chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	GROUP	Analysis Group	chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	StudyID	StudyID	chr	character	character	609	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
3	4	RecruitID	RecruitID	chr	character	character	609	0	"c(""07-01-0003-4"", ""07-08-0371-8"")"
4	5	avisit		dbl	numeric	double	1	0	c(0, 0)
5	6	year		dbl	numeric	double	1	0	c(0, 0)
6	7	evid	evid	dbl	numeric	double	609	0	c(2, 18056)
7	8	event	event	chr	character	character	1	0	"c(""Prenatal Visit"", ""Prenatal Visit"")"
8	9	version	version	chr	character	character	2	0	"c(""1.4"", ""1.5"")"
9	10	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
10	11	mom_noseprobs_nocold	Nose Symptoms - Any Problems with Sneezing, Runny, or Blocked Nose When Participant Does Not Have a Cold	dbl	numeric	double	3	7	c(0, 1)
11	12	mom_noseprobs_timeyr	Nose Symptoms - Problems with Sneezing, Runny, or Blocked Nose Related to Time of Year	dbl	numeric	double	4	279	c(1, 3)
12	13	mom_noseprobs_spring	Nose Symptoms - Nose Problems During the Spring	dbl	numeric	double	3	398	c(0, 1)
13	14	mom_noseprobs_summer	Nose Symptom - Nose Problems During the Summer	dbl	numeric	double	3	398	c(0, 1)
14	15	mom_noseprobs_fall	Nose Symptoms - Nose Problems During the Fall	dbl	numeric	double	3	398	c(0, 1)
15	16	mom_noseprobs_winter	Nose Symptoms - Nose Problems During the Winter	dbl	numeric	double	3	398	c(0, 1)
16	17	mom_noseprobs_animaldustmold	Nose Symptoms - Get a Runny or Stuffy Nose When Near Animals or Around Dust or Mold	dbl	numeric	double	3	7	c(0, 1)
17	18	mom_whzever	Respiratory Symptoms - Wheezing or Whistling in Chest	dbl	numeric	double	3	7	c(0, 1)
18	19	mom_whz12mo	Respiratory Symptoms - Wheezing or Whistling in Chest During the Past 12 Months	dbl	numeric	double	3	7	c(0, 1)
19	20	mom_whz_whencold	Respiratory Symptoms - Wheezing or Whistling in Chest During Past 12 Months When They Have Had a Cold	dbl	numeric	double	3	10	c(0, 1)
20	21	mom_whz_nocold	Respiratory Symptoms - Wheezing or Whistling in Chest During Past 12 Months When They Did Not Have a Cold	dbl	numeric	double	3	8	c(0, 1)
21	22	mom_whz_animaldustmold	Nose Symptoms - Start to Cough, Wheeze, or Feel Tightness in Chest When Near Animals or Around Dust or Mold	dbl	numeric	double	3	8	c(0, 1)
22	23	mom_whzmeds12mo_albut	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Albuterol	dbl	numeric	double	3	17	c(0, 1)
23	24	mom_whzmeds12mo_inhsteroid	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Inhaled Steroids	dbl	numeric	double	3	17	c(0, 1)
24	25	mom_whzmeds12mo_oralsteroid	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Oral Steroids	dbl	numeric	double	3	16	c(0, 1)
25	26	mom_whzmeds12mo_singulair	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Singulair, Accolate	dbl	numeric	double	3	16	c(0, 1)
26	27	mom_whzmeds12mo_advair	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Advair	dbl	numeric	double	3	16	c(0, 1)
27	28	mom_whzmeds12mo_other	Respiratory Symptoms - Participant - Medications Taken for Wheezing in Past 12 Months - Other	dbl	numeric	double	3	16	c(0, 1)
28	29	mom_everasthma	Respiratory Conditons - Participant - Ever Had Asthma	dbl	numeric	double	3	8	c(0, 1)
29	30	mom_asthmastart	Respiratory Symptoms - When Did Asthma Start for Participant	dbl	numeric	double	6	8	c(0, 4)
30	31	mom_asthmadiag	Respiratory Conditions - Participant - Asthma Diagnosed by Doctor	dbl	numeric	double	3	8	c(0, 1)
31	32	mom_stillasthma	Respiratory Conditions - Participant - Still Have Asthma	dbl	numeric	double	3	10	c(0, 1)
32	33	mom_astmeds12mo_albut	Respiratory Conditions - Participant - Medications Taken for  Asthma in Past 12 Months - Albuterol	dbl	numeric	double	3	8	c(0, 1)
33	34	mom_astmeds12mo_inhsteroid	Respiratory Conditions - Participant - Medications Taken for  Asthma in Past 12 Months - Inhaled Steroids	dbl	numeric	double	3	10	c(0, 1)
34	35	mom_astmeds12mo_oralsteroid	Respiratory Conditions - Participant - Medications Taken for  Asthma in Past 12 Months - Oral Steroids	dbl	numeric	double	3	8	c(0, 1)
35	36	mom_astmeds12mo_singulair	Respiratory Conditions - Participant - Medications Taken for  Asthma in Past 12 Months - Singulair, Accolate	dbl	numeric	double	3	8	c(0, 1)
36	37	mom_astmeds12mo_advair	Respiratory Conditions - Participant - Medications Taken for  Asthma in Past 12 Months - Advair	dbl	numeric	double	3	8	c(0, 1)
