	pos	variable	label	col_type	class	type	unique_values	n_na	range
0	1	id		chr	character	character	486	0	"c(""[ID Redacted]"", ""[ID Redacted]"")"
1	2	group		chr	character	character	2	0	"c(""Atopic"", ""Non-atopic"")"
2	3	form		chr	character	character	1	0	"c(""MC"", ""MC"")"
3	4	evid	evid	dbl	numeric	double	906	0	c(30735, 66401)
4	5	event	event	chr	character	character	4	0	"c(""120-Month Clinic Visit"", ""Methacholine Challenge"")"
5	6	version	version	chr	character	character	9	0	"c(""1.1"", ""1.9"")"
6	7	status	status	chr	character	character	2	0	"c(""complete"", ""missing"")"
7	8	aVisit	Visit	chr	character	character	5	0	"c("".x"", ""mc"")"
8	9	MC_q1a	Past 4 weeks - Respiratory Infection	dbl	numeric	double	3	166	c(0, 1)
9	10	MC_q1b	Past 4 weeks - Cold	dbl	numeric	double	3	166	c(0, 1)
10	11	MC_q1c	Past 4 weeks - Bronchitis	dbl	numeric	double	3	166	c(0, 1)
11	12	MC_q2	Currently Having Acute Asthma Attack	dbl	numeric	double	3	166	c(0, 1)
12	13	MC_q3_1	Had asthma attack requiring 20mg of prednisone for 3 of 5 days in the last 4 weeks	dbl	numeric	double	3	190	c(0, 1)
13	14	MC_q4_1	Severe acute illness in last 4 weeks	dbl	numeric	double	3	199	c(0, 1)
14	15	MC_q5_1	Ever been diagnosed with asthma	dbl	numeric	double	3	201	c(0, 1)
15	16	MC_q6_1	Ever been diagnosed with asthma	dbl	numeric	double	3	238	c(0, 1)
16	17	MC_q4	Past 24 hours - Long-acting bronchodilator	dbl	numeric	double	2	176	c(0, 0)
17	18	MC_q5	Past 24 hours - Leukotriene modifier	dbl	numeric	double	3	176	c(0, 1)
18	19	MC_q6	Past 8 hours - Short-acting or oral bronchodilator	dbl	numeric	double	3	176	c(0, 1)
19	20	MC_q7	Past 24 hours - Theophylline or aminophylline	dbl	numeric	double	2	176	c(0, 0)
20	21	MC_q8	Past 24 hours - Anticholinergic	dbl	numeric	double	2	176	c(0, 0)
21	22	MC_q9	Medication that will interfere with testing	dbl	numeric	double	3	176	c(0, 1)
22	23	MC_q9a	Did the participant meet ATS/ATS Preschool guidelines at the baseline stage	dbl	numeric	double	3	450	c(0, 1)
23	24	MC_q10a	Baseline FEV1 in Liters	dbl	numeric	double	155	254	c(0.67, 3.07)
24	25	MC_q10b	Baseline FEV1 (% Predicted)	dbl	numeric	double	364	254	c(1.22, 147.3)
25	26	MC_q10b1	FEV1 (% Predicted) < 70%	dbl	numeric	double	3	251	c(0, 1)
26	27	MC_q12	Permission obtained from physician to proceed	dbl	numeric	double	3	259	c(0, 1)
27	28	MC_q13	Reason why participant should not proceed	dbl	numeric	double	3	290	c(0, 1)
28	29	MC_q13a	Reason why participant should not proceed - Explain	chr	character	character	30	0	"c("".a"", ""unacceptable baseline spirometry."")"
29	30	MC_q14a	Baseline - 90% of FEV1	dbl	numeric	double	131	319	c(0.73, 2.76)
30	31	MC_q14b	Baseline - 80% of FEV1	dbl	numeric	double	121	319	c(0.65, 2.46)
31	32	MC_q16	Time methacoline challenge was started	time	"c(""hms"", ""difftime"")"	double	271	321	c(28800, 63000)
32	33	MC_q17a	Solution 0 -post-diluent FEV1	dbl	numeric	double	150	356	c(0.81, 3.02)
33	34	MC_q17a1	Post-diluent FEV	dbl	numeric	double	4	356	c(1, 3)
34	35	MC_q17a1_1	Did participant meet ATS/ATS preschool guidelines at diluent	dbl	numeric	double	3	375	c(0, 1)
35	36	MC_q17b1	Solution 0 -post-diluent FEV1 repeat	dbl	numeric	double	19	886	c(0.87, 1.76)
36	37	MC_q17b1a	Post-diluent FEV repeat	dbl	numeric	double	3	886	c(1, 2)
37	38	MC_q17b1_1	Did participant meet ATS/ATS preschool guidelines at diluent (repeat)	dbl	numeric	double	3	887	c(0, 1)
