studyFileAccession,studyAccession,studyFileType,description,fileName,filePath
SFL11987,SDY1,Case Report Form,Case Report Form,ITN019AD_Annotated_CRF_v6.0_07Jan2004_PPD.pdf,/SDY1/StudyFiles/ITN019AD_Annotated_CRF_v6.0_07Jan2004_PPD.pdf
SFL11988,SDY1,Data Dictionary,Study variable specifications,20050413_Final_Analysis_Created_Variable_Specifications.doc,/SDY1/StudyFiles/20050413_Final_Analysis_Created_Variable_Specifications.doc
SFL19553,SDY1,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.990.SDY1.txt,/SDY1/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.990.SDY1.txt
SFL3813,SDY1,Study Summary Description,Study document for 2,Casale_Study_Summary_Report.doc,/SDY1/StudyFiles/Casale_Study_Summary_Report.doc
SFL4385,SDY1,Study Data,Apoptosis Data,Apoptosis_2013-01-11_14-29-50.txt,/SDY1/StudyFiles/Apoptosis_2013-01-11_14-29-50.txt
SFL4386,SDY1,Study Data,Site-based Pollen data,PLN_2013-11-25_09-14-44.txt,/SDY1/StudyFiles/PLN_2013-11-25_09-14-44.txt
SFL19560,SDY10,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.1089.SDY10.txt,/SDY10/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.1089.SDY10.txt
SFL3822,SDY10,Study Summary Description,Study document for AMP,AMP-ADVN Summary Report.doc,/SDY10/StudyFiles/AMP-ADVN Summary Report.doc
SFL19715,SDY100,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2815.SDY100.txt,/SDY100/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2815.SDY100.txt
SFL4171,SDY100,Study Data,Cdiff03 Disease activity index scores,Cdiff03_Disease_activity_index_scores.xlsx,/SDY100/StudyFiles/Cdiff03_Disease_activity_index_scores.xlsx
SFL4172,SDY100,Study Data,Cdiff04 Body weight loss,Cdiff04_Body_weight_loss.xlsx,/SDY100/StudyFiles/Cdiff04_Body_weight_loss.xlsx
SFL4173,SDY100,Study Data,Cdiff03 Body weight loss,Cdiff03_Body_weight_loss.xlsx,/SDY100/StudyFiles/Cdiff03_Body_weight_loss.xlsx
SFL4174,SDY100,Study Data,Cdiff04 Disease activity index scores,Cdiff04_Disease_activity_index_scores.xlsx,/SDY100/StudyFiles/Cdiff04_Disease_activity_index_scores.xlsx
SFL11990,SDY1015,Study Summary Description,MaHPIC File Naming Standards Document,MaHPIC_File_Naming_Standards_1Sep2016.docx,/SDY1015/StudyFiles/MaHPIC_File_Naming_Standards_1Sep2016.docx
SFL12068,SDY1015,Study Summary Description,Supplemental file containing experimental sample descriptions,E04M99AIMmCyDaZZ_08022016-Barcodes-Info-Supplementary_MULTIPL.xlsx,/SDY1015/StudyFiles/E04M99AIMmCyDaZZ_08022016-Barcodes-Info-Supplementary_MULTIPL.xlsx
SFL12069,SDY1015,Study Summary Description,Supplemental file containing experimental sample descriptions,E04M99IIMmCyDaZZ_09132016-Barcodes-Info-Supplementary_MULTIPL.xlsx,/SDY1015/StudyFiles/E04M99IIMmCyDaZZ_09132016-Barcodes-Info-Supplementary_MULTIPL.xlsx
SFL15803,SDY1015,Study Summary Description,Readme_MULTIPL-Adaptive,E04M99AIMmCyDaZZ_11122018-Readme_MULTIPL-Adaptive_immport.txt,/SDY1015/StudyFiles/E04M99AIMmCyDaZZ_11122018-Readme_MULTIPL-Adaptive_immport.txt
SFL15804,SDY1015,Study Summary Description,Experiment-Summary-Diagram,E04M99AIMmCyDaZZ_Experiment-Summary-Diagram-Supplementary.pdf,/SDY1015/StudyFiles/E04M99AIMmCyDaZZ_Experiment-Summary-Diagram-Supplementary.pdf
SFL15805,SDY1015,Study Summary Description,Innate_MULTIPL,E04M99IIMmCyDaZZ_11122018-Readme-Innate_MULTIPL_immport.txt,/SDY1015/StudyFiles/E04M99IIMmCyDaZZ_11122018-Readme-Innate_MULTIPL_immport.txt
SFL15806,SDY1015,Study Summary Description,Cytokine-Data-Readme_MULTIPL,E04M99IMMmCyDaCP_11122018-Cytokine-Data-Readme_MULTIPL_immport.txt,/SDY1015/StudyFiles/E04M99IMMmCyDaCP_11122018-Cytokine-Data-Readme_MULTIPL_immport.txt
